ID,cause-disease_name,Label
cause-disease_id_1,上升逆流,cause-disease
cause-disease_id_2,上热,cause-disease
cause-disease_id_3,上逆,cause-disease
cause-disease_id_4,下寒,cause-disease
cause-disease_id_5,不和,cause-disease
cause-disease_id_6,不安,cause-disease
cause-disease_id_7,中虚,cause-disease
cause-disease_id_8,产后恶露潴留,cause-disease
cause-disease_id_9,体液耗竭,cause-disease
cause-disease_id_10,保水,cause-disease
cause-disease_id_11,内火,cause-disease
cause-disease_id_12,内风,cause-disease
cause-disease_id_13,冷,cause-disease
cause-disease_id_14,冷水,cause-disease
cause-disease_id_15,发烧,cause-disease
cause-disease_id_16,外寒内液,cause-disease
cause-disease_id_17,失调,cause-disease
cause-disease_id_18,实,cause-disease
cause-disease_id_19,实热,cause-disease
cause-disease_id_20,客热,cause-disease
cause-disease_id_21,寒,cause-disease
cause-disease_id_22,寒冷,cause-disease
cause-disease_id_23,寒凝,cause-disease
cause-disease_id_24,寒实,cause-disease
cause-disease_id_25,寒战,cause-disease
cause-disease_id_26,寒浊上阴,cause-disease
cause-disease_id_27,寒湿,cause-disease
cause-disease_id_28,寒热往来,cause-disease
cause-disease_id_29,寒痰,cause-disease
cause-disease_id_30,干燥,cause-disease
cause-disease_id_31,心火旺,cause-disease
cause-disease_id_32,心神失守,cause-disease
cause-disease_id_33,心神浮越,cause-disease
cause-disease_id_34,心虚,cause-disease
cause-disease_id_35,戴阳,cause-disease
cause-disease_id_36,损伤,cause-disease
cause-disease_id_37,暑,cause-disease
cause-disease_id_38,暑湿,cause-disease
cause-disease_id_39,暑热,cause-disease
cause-disease_id_40,格阳,cause-disease
cause-disease_id_41,毒,cause-disease
cause-disease_id_42,毒素,cause-disease
cause-disease_id_43,气,cause-disease
cause-disease_id_44,气崩,cause-disease
cause-disease_id_45,气滞,cause-disease
cause-disease_id_46,气虚,cause-disease
cause-disease_id_47,气虚血瘀,cause-disease
cause-disease_id_48,气虚血虚,cause-disease
cause-disease_id_49,气逆,cause-disease
cause-disease_id_50,气陷,cause-disease
cause-disease_id_51,水停,cause-disease
cause-disease_id_52,水冷,cause-disease
cause-disease_id_53,水寒,cause-disease
cause-disease_id_54,水气,cause-disease
cause-disease_id_55,水泛,cause-disease
cause-disease_id_56,水湿,cause-disease
cause-disease_id_57,水热,cause-disease
cause-disease_id_58,水热互结,cause-disease
cause-disease_id_59,水饮,cause-disease
cause-disease_id_60,津亏,cause-disease
cause-disease_id_61,津液,cause-disease
cause-disease_id_62,津液不足,cause-disease
cause-disease_id_63,浊阴不降,cause-disease
cause-disease_id_64,液体,cause-disease
cause-disease_id_65,液体滞留,cause-disease
cause-disease_id_66,液体耗尽,cause-disease
cause-disease_id_67,湿,cause-disease
cause-disease_id_68,湿温,cause-disease
cause-disease_id_69,湿滞,cause-disease
cause-disease_id_70,湿热,cause-disease
cause-disease_id_71,湿热疫邪,cause-disease
cause-disease_id_72,湿热瘀阻,cause-disease
cause-disease_id_73,滑脱,cause-disease
cause-disease_id_74,潮湿,cause-disease
cause-disease_id_75,火,cause-disease
cause-disease_id_76,火旺,cause-disease
cause-disease_id_77,火毒,cause-disease
cause-disease_id_78,火热,cause-disease
cause-disease_id_79,热,cause-disease
cause-disease_id_80,热厥,cause-disease
cause-disease_id_81,热损伤,cause-disease
cause-disease_id_82,热毒,cause-disease
cause-disease_id_83,热痞,cause-disease
cause-disease_id_84,热郁,cause-disease
cause-disease_id_85,燥,cause-disease
cause-disease_id_86,疟邪,cause-disease
cause-disease_id_87,痞,cause-disease
cause-disease_id_88,痰,cause-disease
cause-disease_id_89,痰湿,cause-disease
cause-disease_id_90,痰火,cause-disease
cause-disease_id_91,痰热,cause-disease
cause-disease_id_92,痰饮,cause-disease
cause-disease_id_93,积气,cause-disease
cause-disease_id_94,纯阳不登,cause-disease
cause-disease_id_95,经络亏虚,cause-disease
cause-disease_id_96,经输不利,cause-disease
cause-disease_id_97,统血失职,cause-disease
cause-disease_id_98,肝火,cause-disease
cause-disease_id_99,肠干燥,cause-disease
