ID,disease-location_name,Label
disease-location_id_1,三焦,disease-location
disease-location_id_2,上焦,disease-location
disease-location_id_3,下焦,disease-location
disease-location_id_4,中焦,disease-location
disease-location_id_5,全身,disease-location
disease-location_id_6,内部,disease-location
disease-location_id_7,冲任,disease-location
disease-location_id_8,半表半里,disease-location
disease-location_id_9,卫阳,disease-location
disease-location_id_10,厥阴,disease-location
disease-location_id_11,咽喉,disease-location
disease-location_id_12,喉咙,disease-location
disease-location_id_13,复阴,disease-location
disease-location_id_14,大肠,disease-location
disease-location_id_15,大阳,disease-location
disease-location_id_16,大阳脾胃,disease-location
disease-location_id_17,大阴,disease-location
disease-location_id_18,太阳,disease-location
disease-location_id_19,太阴,disease-location
disease-location_id_20,子宫,disease-location
disease-location_id_21,小肠,disease-location
disease-location_id_22,少阳,disease-location
disease-location_id_23,少阴,disease-location
disease-location_id_24,心,disease-location
disease-location_id_25,心包,disease-location
disease-location_id_26,心肝,disease-location
disease-location_id_27,心肺,disease-location
disease-location_id_28,心脏,disease-location
disease-location_id_29,心脾,disease-location
disease-location_id_30,气分,disease-location
disease-location_id_31,气象,disease-location
disease-location_id_32,气轮,disease-location
disease-location_id_33,水轮,disease-location
disease-location_id_34,皮下,disease-location
disease-location_id_35,皮肤,disease-location
disease-location_id_36,筋骨,disease-location
disease-location_id_37,经络,disease-location
disease-location_id_38,耳,disease-location
disease-location_id_39,肉轮,disease-location
disease-location_id_40,肌肤,disease-location
disease-location_id_41,肝,disease-location
disease-location_id_42,肝经,disease-location
disease-location_id_43,肝肾,disease-location
disease-location_id_44,肝胃,disease-location
disease-location_id_45,肝脏,disease-location
disease-location_id_46,肝脾,disease-location
disease-location_id_47,肢端,disease-location
disease-location_id_48,肺,disease-location
disease-location_id_49,肺卫,disease-location
disease-location_id_50,肺经,disease-location
disease-location_id_51,肾,disease-location
disease-location_id_52,肾脏,disease-location
disease-location_id_53,胃,disease-location
disease-location_id_54,胃肠,disease-location
disease-location_id_55,胆囊,disease-location
disease-location_id_56,胞宫,disease-location
disease-location_id_57,胸,disease-location
disease-location_id_58,胸胁,disease-location
disease-location_id_59,胸膈,disease-location
disease-location_id_60,脾,disease-location
disease-location_id_61,脾胃,disease-location
disease-location_id_62,腰,disease-location
disease-location_id_63,膀胱,disease-location
disease-location_id_64,膜原,disease-location
disease-location_id_65,营分,disease-location
disease-location_id_66,血分,disease-location
disease-location_id_67,血轮,disease-location
disease-location_id_68,表,disease-location
disease-location_id_69,里,disease-location
disease-location_id_70,阳明,disease-location
disease-location_id_71,阴分,disease-location
disease-location_id_72,风轮,disease-location
disease-location_id_73,骨节,disease-location
disease-location_id_74,鼻,disease-location
