ID,effect_name,Label
effect_id_1,下乳,effect
effect_id_2,下乳消肿,effect
effect_id_3,下气,effect
effect_id_4,下气利水,effect
effect_id_5,下气除满,effect
effect_id_6,乌须发,effect
effect_id_7,交通心肾,effect
effect_id_8,偏于消食,effect
effect_id_9,健胃,effect
effect_id_10,健胃消食,effect
effect_id_11,健脾,effect
effect_id_12,健脾养胃,effect
effect_id_13,健脾利湿,effect
effect_id_14,健脾化湿,effect
effect_id_15,健脾和胃,effect
effect_id_16,健脾开胃,effect
effect_id_17,健脾止泻,effect
effect_id_18,健脾消食,effect
effect_id_19,健脾益气,effect
effect_id_20,健脾益肺,effect
effect_id_21,健脾胃,effect
effect_id_22,健腰脚,effect
effect_id_23,健骨,effect
effect_id_24,催吐,effect
effect_id_25,养心,effect
effect_id_26,养心安神,effect
effect_id_27,养心补肝,effect
effect_id_28,养肝明目,effect
effect_id_29,养血,effect
effect_id_30,养血安神,effect
effect_id_31,养血平肝,effect
effect_id_32,养血息风,effect
effect_id_33,养血柔肝,effect
effect_id_34,养血生津,effect
effect_id_35,养血调经,effect
effect_id_36,养阴润燥,effect
effect_id_37,养阴润肺,effect
effect_id_38,养阴清肺,effect
effect_id_39,养阴熄风,effect
effect_id_40,养阴生津,effect
effect_id_41,内服止血止泻,effect
effect_id_42,凉心定惊,effect
effect_id_43,凉肝,effect
effect_id_44,凉肝止血,effect
effect_id_45,凉血,effect
effect_id_46,凉血利咽,effect
effect_id_47,凉血止痢,effect
effect_id_48,凉血止血,effect
effect_id_49,凉血消斑,effect
effect_id_50,凉血消痈,effect
effect_id_51,凉血消肿,effect
effect_id_52,凉血祛风,effect
effect_id_53,凉血解毒,effect
effect_id_54,凉血除蒸,effect
effect_id_55,利二便,effect
effect_id_56,利关节,effect
effect_id_57,利咽,effect
effect_id_58,利咽解毒,effect
effect_id_59,利小便,effect
effect_id_60,利尿,effect
effect_id_61,利尿消肿,effect
effect_id_62,利尿通淋,effect
effect_id_63,利气宽胸,effect
effect_id_64,利水,effect
effect_id_65,利水消肿,effect
effect_id_66,利水渗湿,effect
effect_id_67,利水通淋,effect
effect_id_68,利湿,effect
effect_id_69,利湿去浊,effect
effect_id_70,利湿热,effect
effect_id_71,利湿退黄,effect
effect_id_72,利湿除痹,effect
effect_id_73,利筋骨,effect
effect_id_74,利胆,effect
effect_id_75,利胆退黄,effect
effect_id_76,利膈,effect
effect_id_77,制酸,effect
effect_id_78,制酸止痛,effect
effect_id_79,助阳化气,effect
effect_id_80,助阳止泻,effect
effect_id_81,助阳益精,effect
effect_id_82,助阳解表,effect
effect_id_83,化浊降脂,effect
effect_id_84,化湿,effect
effect_id_85,化湿和中,effect
effect_id_86,化湿开胃,effect
effect_id_87,化湿行气,effect
effect_id_88,化痰,effect
effect_id_89,化痰散痞,effect
effect_id_90,化痰散结,effect
effect_id_91,化痰止咳,effect
effect_id_92,化痰止咳平喘,effect
effect_id_93,化痰软坚,effect
effect_id_94,化瘀,effect
effect_id_95,化瘀止痛,effect
effect_id_96,化瘀止血,effect
effect_id_97,化老痰,effect
effect_id_98,化骨哽,effect
effect_id_99,升举阳气,effect
effect_id_100,升发清阳,effect
effect_id_101,升阳止泻,effect
effect_id_102,升阳解肌,effect
effect_id_103,去湿,effect
effect_id_104,去热,effect
effect_id_105,去翳,effect
effect_id_106,去翳明目,effect
effect_id_107,发汗,effect
effect_id_108,发汗散寒,effect
effect_id_109,发汗解肌,effect
effect_id_110,发汗解表,effect
effect_id_111,发汗透疹,effect
effect_id_112,发表,effect
effect_id_113,发表解暑,effect
effect_id_114,发表透疹,effect
effect_id_115,吐风痰宿食,effect
effect_id_116,和中健脾,effect
effect_id_117,和中消暑,effect
effect_id_118,和中消食,effect
