ID,herb_name,Label
herb_id_1,丁香,herb
herb_id_2,三七,herb
herb_id_3,三棱,herb
herb_id_4,丝瓜络,herb
herb_id_5,丹参,herb
herb_id_6,丹皮,herb
herb_id_7,乌头,herb
herb_id_8,乌梅,herb
herb_id_9,乌梅肉,herb
herb_id_10,乌药,herb
herb_id_11,乌豆衣,herb
herb_id_12,九节菖蒲,herb
herb_id_13,九香虫,herb
herb_id_14,乳香,herb
herb_id_15,云母,herb
herb_id_16,云母石,herb
herb_id_17,五倍子,herb
herb_id_18,五加皮,herb
herb_id_19,五味子,herb
herb_id_20,五灵脂,herb
herb_id_21,人中白,herb
herb_id_22,人参,herb
herb_id_23,仙灵脾,herb
herb_id_24,仙茅,herb
herb_id_25,仙鹤草,herb
herb_id_26,代赭石,herb
herb_id_27,伸筋草,herb
herb_id_28,佛手,herb
herb_id_29,佩兰,herb
herb_id_30,使君子,herb
herb_id_31,侧柏叶,herb
herb_id_32,侧柏炭,herb
herb_id_33,僵蚕,herb
herb_id_34,儿茶,herb
herb_id_35,元胡,herb
herb_id_36,党参,herb
herb_id_37,全瓜蒌,herb
herb_id_38,全蝎,herb
herb_id_39,公英,herb
herb_id_40,六一散,herb
herb_id_41,六月雪,herb
herb_id_42,六神曲,herb
herb_id_43,冬瓜子,herb
herb_id_44,冬瓜皮,herb
herb_id_45,冬花,herb
herb_id_46,冬葵子,herb
herb_id_47,冬虫夏草,herb
herb_id_48,冰片,herb
herb_id_49,决明子,herb
herb_id_50,凤凰衣,herb
herb_id_51,凤尾草,herb
herb_id_52,刀豆,herb
herb_id_53,刘寄奴,herb
herb_id_54,制乳香,herb
herb_id_55,制何首乌,herb
herb_id_56,制川乌,herb
herb_id_57,制白附子,herb
herb_id_58,制草乌,herb
herb_id_59,制远志,herb
herb_id_60,制附子,herb
herb_id_61,刺猬皮,herb
herb_id_62,前胡,herb
herb_id_63,功劳叶,herb
herb_id_64,化橘红,herb
herb_id_65,北沙参,herb
herb_id_66,千年健,herb
herb_id_67,千里光,herb
herb_id_68,升麻,herb
herb_id_69,半夏,herb
herb_id_70,半夏曲,herb
herb_id_71,半枝莲,herb
herb_id_72,南沙参,herb
herb_id_73,厚朴,herb
herb_id_74,厚朴花,herb
herb_id_75,合欢皮,herb
herb_id_76,合欢花,herb
herb_id_77,合萌,herb
herb_id_78,吴茱萸,herb
herb_id_79,商陆,herb
herb_id_80,土元,herb
herb_id_81,土木香,herb
herb_id_82,土瓜根,herb
herb_id_83,土茯苓,herb
herb_id_84,土贝母,herb
herb_id_85,土鳖虫,herb
herb_id_86,地丁,herb
herb_id_87,地枫皮,herb
herb_id_88,地榆,herb
herb_id_89,地榆炭,herb
herb_id_90,地肤子,herb
herb_id_91,地锦草,herb
herb_id_92,地骨皮,herb
herb_id_93,地黄,herb
herb_id_94,地龙,herb
herb_id_95,垂盆草,herb
herb_id_96,墨旱莲,herb
herb_id_97,夏枯草,herb
herb_id_98,大戟,herb
herb_id_99,大枣,herb
herb_id_100,大腹皮,herb
herb_id_101,大蓟,herb
herb_id_102,大血藤,herb
herb_id_103,大豆黄卷,herb
herb_id_104,大青叶,herb
herb_id_105,大黄,herb
herb_id_106,天仙藤,herb
herb_id_107,天冬,herb
herb_id_108,天南星,herb
herb_id_109,天浆壳,herb
herb_id_110,南天竹根,herb
herb_id_111,天竺黄,herb
herb_id_112,天花粉,herb
herb_id_113,天葵子,herb
herb_id_114,天麻,herb
herb_id_115,太子参,herb
herb_id_116,失笑散,herb
herb_id_117,女贞子,herb
herb_id_118,姜半夏,herb
herb_id_119,姜汁,herb
herb_id_120,姜竹茹,herb
herb_id_121,姜黄,herb
herb_id_122,威灵仙,herb
herb_id_123,娑罗子,herb
herb_id_124,安息香,herb
herb_id_125,密蒙花,herb
herb_id_126,寒水石,herb
herb_id_127,射干,herb
herb_id_128,小红参,herb
herb_id_129,小茴香,herb
herb_id_130,小蓟,herb
herb_id_131,小蓟炭,herb
herb_id_132,小通草,herb
herb_id_133,小青皮,herb
herb_id_134,小麦,herb
herb_id_135,山姜,herb
herb_id_136,山慈菇,herb
herb_id_137,山楂,herb
herb_id_138,山茱萸,herb
herb_id_139,山药,herb
herb_id_140,山萸肉,herb
herb_id_141,山豆根,herb
herb_id_142,岗稔根,herb
herb_id_143,川断,herb
herb_id_144,川木通,herb
herb_id_145,川木香,herb
herb_id_146,川楝子,herb
herb_id_147,川牛膝,herb
herb_id_148,川续断,herb
herb_id_149,川芎,herb
herb_id_150,川贝母,herb
herb_id_151,巴戟天,herb
herb_id_152,巴豆霜,herb
herb_id_153,常山,herb
herb_id_154,干姜,herb
herb_id_155,干漆,herb
herb_id_156,平地木,herb
herb_id_157,延胡索,herb
herb_id_158,建曲,herb
herb_id_159,开金锁,herb
herb_id_160,当归,herb
herb_id_161,徐长卿,herb
herb_id_162,忍冬藤,herb
herb_id_163,怀牛膝,herb
herb_id_164,扁豆花,herb
herb_id_165,扁豆衣,herb
herb_id_166,拳参,herb
herb_id_167,文术,herb
herb_id_168,文蛤,herb
herb_id_169,旋复花,herb
herb_id_170,旋覆花,herb
herb_id_171,明矾,herb
herb_id_172,望江南,herb
herb_id_173,木瓜,herb
herb_id_174,木耳,herb
herb_id_175,木蝴蝶,herb
herb_id_176,木贼,herb
herb_id_177,木通,herb
herb_id_178,木防己,herb
herb_id_179,木香,herb
herb_id_180,朱砂,herb
herb_id_181,杏仁,herb
herb_id_182,杜仲,herb
herb_id_183,松脂,herb
herb_id_184,松节,herb
herb_id_185,板蓝根,herb
herb_id_186,枇杷,herb
herb_id_187,枇杷叶,herb
herb_id_188,枯芩,herb
herb_id_189,枳壳,herb
herb_id_190,枳实,herb
herb_id_191,枳椇子,herb
herb_id_192,枸杞子,herb
herb_id_193,柏子仁,herb
herb_id_194,柴胡,herb
herb_id_195,柿蒂,herb
herb_id_196,柿霜,herb
herb_id_197,栀子,herb
herb_id_198,栀子炭,herb
herb_id_199,栗壳,herb
herb_id_200,核桃仁,herb
herb_id_201,桂尖,herb
herb_id_202,桂心,herb
herb_id_203,桂枝,herb
herb_id_204,桃仁,herb
herb_id_205,桑叶,herb
herb_id_206,桑寄生,herb
herb_id_207,桑枝,herb
herb_id_208,桑椹,herb
herb_id_209,桑白皮,herb
herb_id_210,桑螵蛸,herb
herb_id_211,桔叶,herb
herb_id_212,桔梗,herb
herb_id_213,梅花,herb
herb_id_214,梓白皮,herb
herb_id_215,棕榈炭,herb
herb_id_216,椒目,herb
herb_id_217,椿皮,herb
herb_id_218,槐花,herb
herb_id_219,槐角,herb
herb_id_220,槟榔,herb
herb_id_221,橘核,herb
herb_id_222,橘白,herb
herb_id_223,橘红,herb
herb_id_224,橘络,herb
herb_id_225,檀香,herb
herb_id_226,款冬花,herb
herb_id_227,毛茛,herb
herb_id_228,水牛角,herb
herb_id_229,水红花子,herb
herb_id_230,水蛭,herb
herb_id_231,沉香,herb
herb_id_232,沙参,herb
herb_id_233,沙苑子,herb
herb_id_234,没药,herb
herb_id_235,法半夏,herb
herb_id_236,泡参,herb
herb_id_237,泽兰,herb
herb_id_238,泽泻,herb
herb_id_239,泽漆,herb
herb_id_240,浙贝母,herb
herb_id_241,浮小麦,herb
herb_id_242,浮萍,herb
herb_id_243,海桐皮,herb
herb_id_244,海浮石,herb
herb_id_245,海藻,herb
herb_id_246,海蛤粉,herb
herb_id_247,海螵蛸,herb
herb_id_248,海金沙,herb
herb_id_249,海金沙草,herb
herb_id_250,海风藤,herb
herb_id_251,海马,herb
herb_id_252,淡竹叶,herb
herb_id_253,淫羊藿,herb
herb_id_254,清半夏,herb
herb_id_255,滑石,herb
herb_id_256,漏芦,herb
herb_id_257,火麻仁,herb
herb_id_258,灯芯草,herb
herb_id_259,灶心土,herb
herb_id_260,炒山楂,herb
herb_id_261,炒山药,herb
herb_id_262,炒杭芍,herb
herb_id_263,炒枳壳,herb
herb_id_264,炒枳实,herb
herb_id_265,炒牛蒡子,herb
herb_id_266,炒白扁豆,herb
herb_id_267,炒白术,herb
herb_id_268,炒白芍,herb
herb_id_269,炒神曲,herb
herb_id_270,炒苍术,herb
herb_id_271,炒苡仁,herb
herb_id_272,炒莱菔子,herb
herb_id_273,炒蒲黄,herb
herb_id_274,炒谷芽,herb
herb_id_275,炒酸枣仁,herb
herb_id_276,炒麦芽,herb
herb_id_277,炒黄芩,herb
herb_id_278,炙甘草,herb
herb_id_279,炙麻黄,herb
herb_id_280,炙黄芪,herb
herb_id_281,炮天雄,herb
herb_id_282,炮姜,herb
herb_id_283,炮姜炭,herb
herb_id_284,炮山甲,herb
herb_id_285,焦六神曲,herb
herb_id_286,焦山楂,herb
herb_id_287,焦栀子,herb
herb_id_288,焦白术,herb
herb_id_289,焦麦芽,herb
herb_id_290,煅牡蛎,herb
herb_id_291,煅瓦楞子,herb
herb_id_292,煅龙骨,herb
herb_id_293,煨木香,herb
herb_id_294,煨葛根,herb
herb_id_295,熟地,herb
herb_id_296,熟地炭,herb
herb_id_297,熟地黄,herb
herb_id_298,熟大黄,herb
herb_id_299,燀杏仁,herb
herb_id_300,牛大力,herb
herb_id_301,牛膝,herb
herb_id_302,牛蒡子,herb
herb_id_303,牛黄,herb
herb_id_304,牡蛎,herb
herb_id_305,牵牛子,herb
herb_id_306,犀角,herb
herb_id_307,狗脊,herb
herb_id_308,独活,herb
herb_id_309,狼牙草,herb
herb_id_310,猪牙皂,herb
herb_id_311,猪苓,herb
herb_id_312,玄参,herb
herb_id_313,玄明粉,herb
herb_id_314,玉竹,herb
herb_id_315,玉米须,herb
herb_id_316,王不留行,herb
herb_id_317,玫瑰花,herb
herb_id_318,玳瑁,herb
herb_id_319,珍珠,herb
herb_id_320,珍珠母,herb
herb_id_321,琥珀,herb
herb_id_322,琥珀粉,herb
herb_id_323,瓜蒂,herb
herb_id_324,瓜蒌仁,herb
herb_id_325,瓜蒌皮,herb
herb_id_326,瓦楞子,herb
herb_id_327,甘草,herb
herb_id_328,甘草节,herb
herb_id_329,甘遂,herb
herb_id_330,甜杏仁,herb
herb_id_331,生半夏,herb
herb_id_332,生地,herb
herb_id_333,生地炭,herb
herb_id_334,生地黄,herb
herb_id_335,生大黄,herb
herb_id_336,生姜,herb
herb_id_337,生姜皮,herb
herb_id_338,生晒参,herb
herb_id_339,生牡蛎,herb
herb_id_340,生甘草,herb
herb_id_341,生白术,herb
herb_id_342,生白芍,herb
herb_id_343,生谷芽,herb
herb_id_344,生首乌,herb
herb_id_345,生鸡内金,herb
herb_id_346,生麻黄,herb
herb_id_347,生龙骨,herb
herb_id_348,田基黄,herb
herb_id_349,番泻叶,herb
herb_id_350,瘪桃干,herb
herb_id_351,白丑,herb
herb_id_352,白前,herb
herb_id_353,白及,herb
herb_id_354,白头翁,herb
herb_id_355,白扁豆,herb
herb_id_356,白木耳,herb
herb_id_357,白术,herb
herb_id_358,白果,herb
herb_id_359,白石脂,herb
herb_id_360,白石英,herb
herb_id_361,白矾,herb
herb_id_362,白胡椒,herb
herb_id_363,白芍,herb
herb_id_364,白芥子,herb
herb_id_365,白花蛇,herb
herb_id_366,白花蛇舌草,herb
herb_id_367,白芷,herb
herb_id_368,白茅根,herb
herb_id_369,白茅花,herb
herb_id_370,白蔹,herb
herb_id_371,白薇,herb
herb_id_372,白豆蔻,herb
herb_id_373,白附子,herb
herb_id_374,白鲜皮,herb
herb_id_375,百合,herb
herb_id_376,百草霜,herb
herb_id_377,百部,herb
herb_id_378,皂刺,herb
herb_id_379,皂荚,herb
herb_id_380,皂荚粉,herb
herb_id_381,皂角刺,herb
herb_id_382,皂荚子,herb
herb_id_383,益智仁,herb
herb_id_384,益母草,herb
herb_id_385,瞿麦,herb
herb_id_386,知母,herb
herb_id_387,矮地茶,herb
herb_id_388,石决明,herb
herb_id_389,石斛,herb
herb_id_390,石椒草,herb
herb_id_391,石榴皮,herb
herb_id_392,石燕,herb
herb_id_393,石膏,herb
herb_id_394,石莲子,herb
herb_id_395,石菖蒲,herb
herb_id_396,石蜜,herb
herb_id_397,石见穿,herb
herb_id_398,石韦,herb
herb_id_399,砂仁,herb
herb_id_400,硫磺,herb
herb_id_401,硼砂,herb
herb_id_402,磁石,herb
herb_id_403,神曲,herb
herb_id_404,禹余粮,herb
herb_id_405,秦皮,herb
herb_id_406,秦艽,herb
herb_id_407,稻芽,herb
herb_id_408,穿山甲,herb
herb_id_409,穿心莲,herb
herb_id_410,童便,herb
herb_id_411,竹叶,herb
herb_id_412,竹叶心,herb
herb_id_413,竹沥,herb
herb_id_414,竹茹,herb
herb_id_415,米壳,herb
herb_id_416,粉萆薢,herb
herb_id_417,粉葛,herb
herb_id_418,粉防己,herb
herb_id_419,粳米,herb
herb_id_420,糙苏,herb
herb_id_421,糯稻根,herb
herb_id_422,素馨花,herb
herb_id_423,紫参,herb
herb_id_424,紫河车,herb
herb_id_425,紫珠草,herb
herb_id_426,紫石英,herb
herb_id_427,紫芝,herb
herb_id_428,紫花地丁,herb
herb_id_429,紫苏,herb
herb_id_430,紫苏叶,herb
herb_id_431,紫苏子,herb
herb_id_432,紫苑,herb
herb_id_433,紫草,herb
herb_id_434,紫菀,herb
herb_id_435,紫葳,herb
herb_id_436,紫贝齿,herb
herb_id_437,红参,herb
herb_id_438,红枣,herb
herb_id_439,红花,herb
herb_id_440,红豆蔻,herb
herb_id_441,细辛,herb
herb_id_442,络石藤,herb
herb_id_443,续断,herb
herb_id_444,绿豆,herb
herb_id_445,罂粟壳,herb
herb_id_446,罗布麻叶,herb
herb_id_447,羊栖藻,herb
herb_id_448,羊蹄根,herb
herb_id_449,羌活,herb
herb_id_450,羚羊角,herb
herb_id_451,羚羊角粉,herb
herb_id_452,老鹳草,herb
herb_id_453,肉桂,herb
herb_id_454,肉苁蓉,herb
herb_id_455,肉豆蔻,herb
herb_id_456,胆南星,herb
herb_id_457,胆矾,herb
herb_id_458,胖大海,herb
herb_id_459,胡芦巴,herb
herb_id_460,胡黄连,herb
herb_id_461,胶饴,herb
herb_id_462,腊梅花,herb
herb_id_463,自然铜,herb
herb_id_464,臭梧桐叶,herb
herb_id_465,艾叶,herb
herb_id_466,芍药,herb
herb_id_467,芒硝,herb
herb_id_468,芜荑,herb
herb_id_469,芡实,herb
herb_id_470,芦根,herb
herb_id_471,芦荟,herb
herb_id_472,芫花,herb
herb_id_473,芫荽,herb
herb_id_474,芫荽子,herb
herb_id_475,花椒,herb
herb_id_476,花生,herb
herb_id_477,花生衣,herb
herb_id_478,花蕊石,herb
herb_id_479,苇茎,herb
herb_id_480,苍术,herb
herb_id_481,苍耳子,herb
herb_id_482,苎麻根,herb
herb_id_483,苏叶,herb
herb_id_484,苏合香,herb
herb_id_485,苏子,herb
herb_id_486,苏木,herb
herb_id_487,苏梗,herb
herb_id_488,苡仁,herb
herb_id_489,苦参,herb
herb_id_490,苦地丁,herb
herb_id_491,苦杏仁,herb
herb_id_492,苦楝皮,herb
herb_id_493,茜草,herb
herb_id_494,茯神,herb
herb_id_495,茯苓,herb
herb_id_496,茯苓皮,herb
herb_id_497,茵陈,herb
herb_id_498,茵陈蒿,herb
herb_id_499,茺蔚子,herb
herb_id_500,荆芥,herb
herb_id_501,荆芥炭,herb
herb_id_502,草乌,herb
herb_id_503,草果,herb
herb_id_504,草豆蔻,herb
herb_id_505,荔枝核,herb
herb_id_506,荔枝草,herb
herb_id_507,荠菜,herb
herb_id_508,荷包草,herb
herb_id_509,荷叶,herb
herb_id_510,荷梗,herb
herb_id_511,荷蒂,herb
herb_id_512,荸荠,herb
herb_id_513,莪术,herb
herb_id_514,莱菔子,herb
herb_id_515,莲子,herb
herb_id_516,莲子心,herb
herb_id_517,莲房,herb
herb_id_518,莲肉,herb
herb_id_519,莲芯,herb
herb_id_520,莲须,herb
herb_id_521,菊花,herb
herb_id_522,菖蒲,herb
herb_id_523,菟丝子,herb
herb_id_524,萆薢,herb
herb_id_525,萹蓄,herb
herb_id_526,葛根,herb
herb_id_527,葛花,herb
herb_id_528,葫芦,herb
herb_id_529,葱白,herb
herb_id_530,葶苈子,herb
herb_id_531,蒲公英,herb
herb_id_532,蒲黄,herb
herb_id_533,蒲黄炭,herb
herb_id_534,蒴藋细叶,herb
herb_id_535,蒺藜,herb
herb_id_536,蔓荆子,herb
herb_id_537,薄荷,herb
herb_id_538,薏苡仁,herb
herb_id_539,薤白,herb
herb_id_540,藁本,herb
herb_id_541,藏青果,herb
herb_id_542,藕节,herb
herb_id_543,藕节炭,herb
herb_id_544,藜芦,herb
herb_id_545,藿香,herb
herb_id_546,虎杖,herb
herb_id_547,虎骨,herb
herb_id_548,虻虫,herb
herb_id_549,蚕砂,herb
herb_id_550,蛇床子,herb
herb_id_551,蛇莓,herb
herb_id_552,蛇蜕,herb
herb_id_553,蛤壳,herb
herb_id_554,蛤蚧,herb
herb_id_555,蛴螬,herb
herb_id_556,蜀椒,herb
herb_id_557,蜀漆,herb
herb_id_558,蜂房,herb
herb_id_559,蜂蜜,herb
herb_id_560,蜈蚣,herb
herb_id_561,蜜枇杷叶,herb
herb_id_562,蜜款冬花,herb
herb_id_563,蝉蜕,herb
herb_id_564,蟾酥,herb
herb_id_565,血余炭,herb
herb_id_566,血竭,herb
herb_id_567,补骨脂,herb
herb_id_568,西河柳,herb
herb_id_569,西洋参,herb
herb_id_570,西瓜翠衣,herb
herb_id_571,西砂仁,herb
herb_id_572,西红花,herb
herb_id_573,覆盆子,herb
herb_id_574,诃子,herb
herb_id_575,诃子肉,herb
herb_id_576,谷精草,herb
herb_id_577,豆豉,herb
herb_id_578,象贝,herb
herb_id_579,豨莶草,herb
herb_id_580,败酱草,herb
herb_id_581,贯众,herb
herb_id_582,赤小豆,herb
herb_id_583,赤石脂,herb
herb_id_584,赤芍,herb
herb_id_585,赤茯苓,herb
herb_id_586,路路通,herb
herb_id_587,车前子,herb
herb_id_588,车前草,herb
herb_id_589,辛夷,herb
herb_id_590,远志,herb
herb_id_591,连翘,herb
herb_id_592,透骨草,herb
herb_id_593,通天草,herb
herb_id_594,通草,herb
herb_id_595,郁李仁,herb
herb_id_596,郁金,herb
herb_id_597,酒萸肉,herb
herb_id_598,酒黄芩,herb
herb_id_599,酸枣仁,herb
herb_id_600,酸浆,herb
herb_id_601,醋,herb
herb_id_602,醋郁金,herb
herb_id_603,醋香附,herb
herb_id_604,醋鳖甲,herb
herb_id_605,醋鸡内金,herb
herb_id_606,重楼,herb
herb_id_607,野菊花,herb
herb_id_608,金果榄,herb
herb_id_609,金樱子,herb
herb_id_610,金沸草,herb
herb_id_611,金荞麦,herb
herb_id_612,金钱草,herb
herb_id_613,金铃子,herb
herb_id_614,金银花,herb
herb_id_615,金银花露,herb
herb_id_616,钟乳石,herb
herb_id_617,钩藤,herb
herb_id_618,铁苋菜,herb
herb_id_619,银杏,herb
herb_id_620,银柴胡,herb
herb_id_621,银花,herb
herb_id_622,闹羊花,herb
herb_id_623,防己,herb
herb_id_624,防风,herb
herb_id_625,阳起石,herb
herb_id_626,阿胶,herb
herb_id_627,阿魏,herb
herb_id_628,附子,herb
herb_id_629,陈皮,herb
herb_id_630,降香,herb
herb_id_631,雄黄,herb
herb_id_632,雷丸,herb
herb_id_633,青果,herb
herb_id_634,青皮,herb
herb_id_635,青礞石,herb
herb_id_636,青葙子,herb
herb_id_637,青蒿,herb
herb_id_638,青风藤,herb
herb_id_639,青黛,herb
herb_id_640,韭菜子,herb
herb_id_641,首乌藤,herb
herb_id_642,香橼,herb
herb_id_643,香薷,herb
herb_id_644,香附,herb
herb_id_645,马兜铃,herb
herb_id_646,马勃,herb
herb_id_647,马钱子,herb
herb_id_648,马鞭草,herb
herb_id_649,马齿苋,herb
herb_id_650,骨碎补,herb
herb_id_651,高良姜,herb
herb_id_652,鬼箭羽,herb
herb_id_653,鱼腥草,herb
herb_id_654,鳖甲,herb
herb_id_655,鸡内金,herb
herb_id_656,鸡冠花,herb
herb_id_657,鸡子黄,herb
herb_id_658,鸡血藤,herb
herb_id_659,鸡骨草,herb
herb_id_660,鸦胆子,herb
herb_id_661,鸭跖草,herb
herb_id_662,鹅管石,herb
