ID,meridians-tropism_name,Label
meridians-tropism_id_1,三焦,meridians-tropism
meridians-tropism_id_2,大肠,meridians-tropism
meridians-tropism_id_3,小肠,meridians-tropism
meridians-tropism_id_4,心,meridians-tropism
meridians-tropism_id_5,心包,meridians-tropism
meridians-tropism_id_6,肝,meridians-tropism
meridians-tropism_id_7,肺,meridians-tropism
meridians-tropism_id_8,肾,meridians-tropism
meridians-tropism_id_9,胃,meridians-tropism
meridians-tropism_id_10,胆,meridians-tropism
meridians-tropism_id_11,脾,meridians-tropism
meridians-tropism_id_12,膀胱,meridians-tropism
