ID,pulse_name,Label
pulse_id_1,反关脉,pulse
pulse_id_2,尺脉乱,pulse
pulse_id_3,尺脉大,pulse
pulse_id_4,尺脉滑,pulse
pulse_id_5,尺脉绝,pulse
pulse_id_6,无脉,pulse
pulse_id_7,脉不调,pulse
pulse_id_8,脉中,pulse
pulse_id_9,脉代,pulse
pulse_id_10,脉伏,pulse
pulse_id_11,脉促,pulse
pulse_id_12,脉动,pulse
pulse_id_13,脉和,pulse
pulse_id_14,脉坚,pulse
pulse_id_15,脉大,pulse
pulse_id_16,脉实,pulse
pulse_id_17,脉小,pulse
pulse_id_18,脉平,pulse
pulse_id_19,脉弦,pulse
pulse_id_20,脉弱,pulse
pulse_id_21,脉微,pulse
pulse_id_22,脉急,pulse
pulse_id_23,脉攻,pulse
pulse_id_24,脉散,pulse
pulse_id_25,脉数,pulse
pulse_id_26,脉断续,pulse
pulse_id_27,脉无力,pulse
pulse_id_28,脉有力,pulse
pulse_id_29,脉有神,pulse
pulse_id_30,脉沉,pulse
pulse_id_31,脉沉弱,pulse
pulse_id_32,脉洪,pulse
pulse_id_33,脉浮,pulse
pulse_id_34,脉涩,pulse
pulse_id_35,脉淡,pulse
pulse_id_36,脉深,pulse
pulse_id_37,脉湿,pulse
pulse_id_38,脉滑,pulse
pulse_id_39,脉滞,pulse
pulse_id_40,脉濡,pulse
pulse_id_41,脉疾,pulse
pulse_id_42,脉短,pulse
pulse_id_43,脉粗,pulse
pulse_id_44,脉紧,pulse
pulse_id_45,脉纹淡,pulse
pulse_id_46,脉纹红紫,pulse
pulse_id_47,脉细,pulse
pulse_id_48,脉结,pulse
pulse_id_49,脉结代,pulse
pulse_id_50,脉缓,pulse
pulse_id_51,脉芤,pulse
pulse_id_52,脉薄,pulse
pulse_id_53,脉虚,pulse
pulse_id_54,脉调,pulse
pulse_id_55,脉软,pulse
pulse_id_56,脉迟,pulse
pulse_id_57,脉重,pulse
pulse_id_58,脉长,pulse
