ID,syndrome_name,Label
syndrome_id_1,三阳俱证,syndrome
syndrome_id_2,三阳合病,syndrome
syndrome_id_3,上下失调证,syndrome
syndrome_id_4,上实下虚证,syndrome
syndrome_id_5,上热下寒证,syndrome
syndrome_id_6,上焦燥热证,syndrome
syndrome_id_7,下焦有火,syndrome
syndrome_id_8,下焦湿热证,syndrome
syndrome_id_9,下焦滑脱证,syndrome
syndrome_id_10,下焦热毒证,syndrome
syndrome_id_11,下焦热症,syndrome
syndrome_id_12,下焦蓄血证,syndrome
syndrome_id_13,下虚上实证,syndrome
syndrome_id_14,中寒停饮证,syndrome
syndrome_id_15,中气下陷证,syndrome
syndrome_id_16,中气不足,syndrome
syndrome_id_17,中焦寒并外邪,syndrome
syndrome_id_18,中焦湿热证,syndrome
syndrome_id_19,中焦虚寒证,syndrome
syndrome_id_20,中阳不正,syndrome
syndrome_id_21,久热伤阴证,syndrome
syndrome_id_22,久病入血,syndrome
syndrome_id_23,久痹,syndrome
syndrome_id_24,乳痈,syndrome
syndrome_id_25,乳蛾,syndrome
syndrome_id_26,五劳虚极证,syndrome
syndrome_id_27,产后恶露不绝心证,syndrome
syndrome_id_28,产后恶露阻肺证,syndrome
syndrome_id_29,产后败血冲胃证,syndrome
syndrome_id_30,伤络血溢证,syndrome
syndrome_id_31,伤阻卫阳证,syndrome
syndrome_id_32,伤阻热结证,syndrome
syndrome_id_33,伤食证,syndrome
syndrome_id_34,体液缺乏综合征,syndrome
syndrome_id_35,入里化热,syndrome
syndrome_id_36,入里化热之势,syndrome
syndrome_id_37,内闭外脱证,syndrome
syndrome_id_38,冲任不固,syndrome
syndrome_id_39,冲任不安证,syndrome
syndrome_id_40,冲任亏虚证,syndrome
syndrome_id_41,冲任寒证,syndrome
syndrome_id_42,冲任热证,syndrome
syndrome_id_43,冲任虚寒证,syndrome
syndrome_id_44,凉燥,syndrome
syndrome_id_45,化热入里,syndrome
syndrome_id_46,升降失调,syndrome
syndrome_id_47,厥明热迫大肠证,syndrome
syndrome_id_48,厥阴上热中寒阴虚证,syndrome
syndrome_id_49,厥阴寒格证,syndrome
syndrome_id_50,厥阴病,syndrome
syndrome_id_51,厥阴病证,syndrome
syndrome_id_52,发颐高热证,syndrome
syndrome_id_53,呃逆,syndrome
syndrome_id_54,土虚木克证,syndrome
syndrome_id_55,外伤,syndrome
syndrome_id_56,外伤证,syndrome
syndrome_id_57,外寒内热证,syndrome
syndrome_id_58,外寒内饮证,syndrome
syndrome_id_59,外寒风邪,syndrome
syndrome_id_60,外感夹食证,syndrome
syndrome_id_61,外感暑湿证,syndrome
syndrome_id_62,外感未清,syndrome
syndrome_id_63,外感犯胃证,syndrome
syndrome_id_64,外感瘟毒,syndrome
syndrome_id_65,外感风寒,syndrome
syndrome_id_66,外感风寒证,syndrome
syndrome_id_67,大结胸证,syndrome
syndrome_id_68,大肠液体耗尽综合征,syndrome
syndrome_id_69,大肠湿热,syndrome
syndrome_id_70,大肠湿热证,syndrome
syndrome_id_71,大肠热结证,syndrome
syndrome_id_72,大肠瘀热,syndrome
syndrome_id_73,大肠虚寒证,syndrome
syndrome_id_74,大阳水闭证,syndrome
syndrome_id_75,大阳热困肺证,syndrome
syndrome_id_76,大阳阳虚水气上冲证,syndrome
syndrome_id_77,大阳阴阳两虚证,syndrome
syndrome_id_78,大阴寒湿郁证,syndrome
syndrome_id_79,太阳,syndrome
syndrome_id_80,太阳上寒内津证,syndrome
syndrome_id_81,太阳上寒内热证,syndrome
syndrome_id_82,太阳与阳明合病,syndrome
syndrome_id_83,太阳中虚里急证,syndrome
syndrome_id_84,太阳中风证,syndrome
syndrome_id_85,太阳伤寒兼下利证,syndrome
syndrome_id_86,太阳伤寒证,syndrome
syndrome_id_87,太阳太阴合病证,syndrome
syndrome_id_88,太阳少阳犯胃上逆证,syndrome
syndrome_id_89,太阳少阳邪迫大肠证,syndrome
syndrome_id_90,太阳心气阴两虚证,syndrome
syndrome_id_91,太阳热多寒少证,syndrome
syndrome_id_92,太阳热扰胸膈中焦气滞证,syndrome
syndrome_id_93,太阳热扰胸膈中焦虚寒证,syndrome
syndrome_id_94,太阳热扰胸膈证,syndrome
syndrome_id_95,太阳热迫大肠证,syndrome
syndrome_id_96,太阳胸阳不振证,syndrome
syndrome_id_97,太阳蓄血证,syndrome
syndrome_id_98,太阳表实经输不利证,syndrome
syndrome_id_99,太阳表实证,syndrome
syndrome_id_100,太阳表虚经输不利证,syndrome
syndrome_id_101,太阳表虚肺气不利证,syndrome
syndrome_id_102,太阳表虚证,syndrome
syndrome_id_103,太阳邪陷脾气不和证,syndrome
syndrome_id_104,太阳阳明邪迫大肠证,syndrome
syndrome_id_105,太阳阳虚心浮证,syndrome
syndrome_id_106,太阳阳虚心神失守证,syndrome
syndrome_id_107,太阳阴盛虚阳上扰证,syndrome
syndrome_id_108,太阳风湿相搏证,syndrome
syndrome_id_109,太阳风湿相搏骨节证,syndrome
syndrome_id_110,太阴虚寒证,syndrome
syndrome_id_111,失于清肃,syndrome
syndrome_id_112,实热腹痛肠道阻滞,syndrome
syndrome_id_113,实热证,syndrome
syndrome_id_114,宫虚寒证,syndrome
syndrome_id_115,寒凝子宫证,syndrome
syndrome_id_116,寒凝少阴阳虚证,syndrome
syndrome_id_117,寒凝气滞,syndrome
syndrome_id_118,寒凝肝经证,syndrome
syndrome_id_119,寒凝胃脘证,syndrome
syndrome_id_120,寒凝胞宫,syndrome
syndrome_id_121,寒凝血滞证,syndrome
syndrome_id_122,寒凝血瘀,syndrome
syndrome_id_123,寒凝血瘀证,syndrome
syndrome_id_124,寒实结胸证,syndrome
syndrome_id_125,寒湿凝滞筋骨证,syndrome
syndrome_id_126,寒湿束表,syndrome
syndrome_id_127,寒湿痹阻证,syndrome
syndrome_id_128,寒湿证,syndrome
syndrome_id_129,寒湿郁肺证,syndrome
syndrome_id_130,寒湿阻肺证,syndrome
syndrome_id_131,寒热互结证,syndrome
syndrome_id_132,寒热痹阻证,syndrome
syndrome_id_133,寒热错杂证,syndrome
syndrome_id_134,寒疝证,syndrome
syndrome_id_135,寒痰证,syndrome
syndrome_id_136,寒痰阻肺证,syndrome
syndrome_id_137,寒痹证,syndrome
syndrome_id_138,寒盛血亏兼郁热证,syndrome
syndrome_id_139,寒积里实证,syndrome
syndrome_id_140,寒邪犯胃阴浊上逆证,syndrome
syndrome_id_141,寒饮上扰心神,syndrome
syndrome_id_142,寒饮停胃,syndrome
syndrome_id_143,寒饮停胃证,syndrome
syndrome_id_144,寒饮内停,syndrome
syndrome_id_145,寒饮内停证,syndrome
syndrome_id_146,寒饮射肺,syndrome
syndrome_id_147,寒饮郁久上犯证,syndrome
syndrome_id_148,小儿肾气虚弱证,syndrome
syndrome_id_149,小儿脾胃虚寒证,syndrome
syndrome_id_150,小儿脾胃虚弱证,syndrome
syndrome_id_151,小儿脾胃食滞证,syndrome
syndrome_id_152,小儿风寒束表证,syndrome
syndrome_id_153,小儿风湿束表证,syndrome
syndrome_id_154,小结胸证,syndrome
syndrome_id_155,小肠气滞证,syndrome
syndrome_id_156,小肠虚寒证,syndrome
syndrome_id_157,少阳,syndrome
syndrome_id_158,少阳兼胃热证,syndrome
syndrome_id_159,少阳兼表及里虚实错杂证,syndrome
syndrome_id_160,少阳兼表证,syndrome
syndrome_id_161,少阳兼里实证,syndrome
syndrome_id_162,少阳半表半里证,syndrome
syndrome_id_163,少阳合病,syndrome
syndrome_id_164,少阳太阳证,syndrome
syndrome_id_165,少阳水饮微结证,syndrome
syndrome_id_166,少阳病兼肺热证,syndrome
syndrome_id_167,少阳证,syndrome
syndrome_id_168,少阳郁热证,syndrome
syndrome_id_169,少阳阳明合病,syndrome
syndrome_id_170,少阳阳明合病兼夹瘀血,syndrome
syndrome_id_171,少阳阳明合病证,syndrome
syndrome_id_172,少阴兼表证,syndrome
syndrome_id_173,少阴兼阳明证,syndrome
syndrome_id_174,少阴客热犯咽证,syndrome
syndrome_id_175,少阴寒邪犯咽证,syndrome
syndrome_id_176,少阴病,syndrome
syndrome_id_177,少阴痰火结咽证,syndrome
syndrome_id_178,少阴虚寒滑脱证,syndrome
syndrome_id_179,少阴虚火犯喉证,syndrome
syndrome_id_180,少阴阳虚水泛证,syndrome
syndrome_id_181,少阴阳虚证,syndrome
syndrome_id_182,少阴阳虚阴盛证,syndrome
syndrome_id_183,少阴阴盛戴阳证,syndrome
syndrome_id_184,少阴阴盛格阳证,syndrome
syndrome_id_185,少阴阴虚水热互结证,syndrome
syndrome_id_186,少阴阴虛火旺证,syndrome
syndrome_id_187,干血停少腹证,syndrome
syndrome_id_188,心下水饮证,syndrome
syndrome_id_189,心气不足证,syndrome
