ID,taboo_name,Label
taboo_id_1,一般不与人参同用,taboo
taboo_id_2,下焦虚寒，小便失禁者禁服。,taboo
taboo_id_3,不可久服。中气虚寒者慎服。,taboo
taboo_id_4,不可多服,taboo
taboo_id_5,不可多服，恐损胃气,taboo
taboo_id_6,不宜与丁香，母丁香同用。,taboo
taboo_id_7,不宜与川乌，制川乌，草乌，制草乌，附子同用。,taboo
taboo_id_8,不宜与川乌，制川乌，草乌，制草乌，附子同用，生品内服宜慎。,taboo
taboo_id_9,不宜与海藻，京大戟，红大戟，甘遂，芫花同用。,taboo
taboo_id_10,不宜与甘草同用。,taboo
taboo_id_11,不宜与肉桂同用。,taboo
taboo_id_12,不宜与藜芦同用。,taboo
taboo_id_13,不宜与藜芦同用。 虚寒腹痛泄泻者慎服。,taboo
taboo_id_14,不宜与藜芦，五灵脂同用。,taboo
taboo_id_15,不宜与郁金同用。,taboo
taboo_id_16,不宜多服，久服，体虚者及孕妇禁用。,taboo
taboo_id_17,中寒泄泻者勿服,taboo
taboo_id_18,中寒湿盛者忌用。,taboo
taboo_id_19,中寒者勿使,taboo
taboo_id_20,中满痞胀及大便燥结者，忌服。,taboo
taboo_id_21,体寒湿滞及肠滑便泄者不宜服。,taboo
taboo_id_22,体弱者及孕妇忌服。,taboo
taboo_id_23,体弱者及孕妇禁服。,taboo
taboo_id_24,体虚及孕妇，咯血者禁服。,taboo
taboo_id_25,体虚者忌服。,taboo
taboo_id_26,体虚者慎服。,taboo
taboo_id_27,体虚，失血及上部无实邪者禁服。,taboo
taboo_id_28,体虚，妇女哺乳期，月经期及孕妇忌用,taboo
taboo_id_29,体虚，无实火热毒，阴证外疡及孕妇均忌服,taboo
taboo_id_30,体虚，无湿热及孕妇忌服。,taboo
taboo_id_31,体质虚寒者忌服。,taboo
taboo_id_32,内服不宜过量，以免中毒。,taboo
taboo_id_33,内服宜慎。孕妇忌服,taboo
taboo_id_34,内服宜慎，不可久用，孕妇禁用。,taboo
taboo_id_35,内热烦渴者慎服,taboo
taboo_id_36,凡中气下陷，脾虚泄泻，下元不固，梦遗失精，月经过多，及孕妇均忌服。,taboo
taboo_id_37,凡命门火炽，强阳不痿，素有湿热，小便淋涩者忌服。,taboo
taboo_id_38,凡无瘀血者慎服。孕妇忌用。,taboo
taboo_id_39,凡有湿痰，积滞，齿病，虫病者，均不相宜。,taboo
taboo_id_40,凡有表邪及实证者禁服，脾虚湿困纳呆者慎服。,taboo
taboo_id_41,凡素体虚弱而自汗，盗汗，气喘者，均忌服。,taboo
taboo_id_42,凡脾胃虚寒泄泻，胃有痰饮湿浊及暴感风寒咳嗽者均忌服。,taboo
taboo_id_43,凡脾虚泄泻及痰湿忌用,taboo
taboo_id_44,凡虚人，孕妇，阴虚火旺及热证疼痛者忌服。生者慎服。,taboo
taboo_id_45,凡虚寒体弱者慎用,taboo
taboo_id_46,凡血分无瘀滞及脾胃虚寒者忌服。,taboo
taboo_id_47,凡表证未罢，血虚气弱，脾胃虚寒，无实热，积滞，瘀结，以及胎前，产后，均应慎服。,taboo
taboo_id_48,凡阴虚内热者禁服。,taboo
taboo_id_49,出血无瘀滞或虚寒性出血者慎用,taboo
taboo_id_50,初起痢疾或咳嗽忌用。,taboo
taboo_id_51,回阳救逆，补火助阳，散寒止痛。用于亡阳虚脱，肢冷脉微，心阳不足，胸痹心痛，虚寒吐泻，脘腹冷痛，肾阳虚衰，阳痿宫冷，阴寒水肿，阳虚外感，寒湿痹痛。,taboo
taboo_id_52,多食则滞。冠心病，高血压，动脉血管粥样硬化者慎用,taboo
taboo_id_53,大便清泄及有湿痰者不宜。,taboo
taboo_id_54,大毒,taboo
taboo_id_55,妊娠不可服,taboo
taboo_id_56,孕妇及体虚者忌服,taboo
taboo_id_57,孕妇及月经期，哺乳期慎用。,taboo
taboo_id_58,孕妇及气虚者忌服,taboo
taboo_id_59,孕妇及肝肾功能不全者慎用。,taboo
taboo_id_60,孕妇及胃弱气虚者忌服。不宜与巴豆，巴豆霜同用。,taboo
taboo_id_61,孕妇及阴虚火旺者忌服。,taboo
taboo_id_62,孕妇忌服,taboo
taboo_id_63,孕妇忌服。,taboo
taboo_id_64,孕妇忌服。生者内服宜慎。,taboo
taboo_id_65,孕妇慎服,taboo
taboo_id_66,孕妇慎服。,taboo
taboo_id_67,孕妇慎用。,taboo
taboo_id_68,孕妇慎用，不宜与半夏，瓜蒌，瓜蒌子，瓜蒌皮，天花粉，川贝母，浙贝母，平贝母，伊贝母，湖北贝母，白蔹，白及同用。,taboo
taboo_id_69,孕妇慎用，不宜与川乌，制川乌，草乌，制草乌，附子同用。,taboo
taboo_id_70,孕妇慎用，不宜与硫黄，三棱同用。,taboo
taboo_id_71,孕妇慎用，生品内服宜慎。,taboo
taboo_id_72,孕妇或胃有寒湿者忌服。,taboo
taboo_id_73,孕妇禁服,taboo
taboo_id_74,孕妇禁服。,taboo
taboo_id_75,孕妇禁用。,taboo
taboo_id_76,孕妇禁用，不宜与巴豆，巴豆霜同用。,taboo
taboo_id_77,孕妇禁用，不宜与甘草同用。,taboo
taboo_id_78,孕妇禁用，不宜与芒硝，玄明粉同用。,taboo
taboo_id_79,孕妇禁用，血虚者及无瘀血者也不宜应用,taboo
taboo_id_80,实热及阴虚火旺者禁服。,taboo
taboo_id_81,实证慎服,taboo
taboo_id_82,寒嗽及脾虚便溏者忌服。,taboo
taboo_id_83,寒痰咳喘，胃寒呕逆及脾虚泄泻者禁服。,taboo
taboo_id_84,小麦面畏汉椒，萝菔。,taboo
taboo_id_85,忌铁器。,taboo
taboo_id_86,性主疏泄，气虚久嗽，阴虚喘逆，脾虚便滑者皆不可用。,taboo
taboo_id_87,无实热者慎服。,taboo
taboo_id_88,无瘀血者慎服。,taboo
taboo_id_89,有催吐副作用，用量不宜过大，孕妇慎用。正气虚弱，久病体弱者忌服,taboo
taboo_id_90,有出血倾向者及孕妇慎用，不宜与赤石脂同用。,taboo
taboo_id_91,有实热者忌服。,taboo
taboo_id_92,有实邪者忌服。,taboo
taboo_id_93,有实邪者忌用。,taboo
taboo_id_94,有毒,taboo
taboo_id_95,有湿热积滞者忌服。,taboo
taboo_id_96,有湿热，实邪者忌服。,taboo
taboo_id_97,有痰湿者不宜服。小儿勿多食。,taboo
taboo_id_98,有虫积而脾胃虚寒者慎服。,taboo
taboo_id_99,有表邪者慎用,taboo
taboo_id_100,服药时忌饮浓茶。,taboo
taboo_id_101,本品力缓，宜多服久服。脾虚无湿，大便燥结及孕妇慎服。,taboo
