ID,tongue_name,Label
tongue_id_1,舌上红点,tongue
tongue_id_2,舌体嫩,tongue
tongue_id_3,舌体涩,tongue
tongue_id_4,舌僵硬,tongue
tongue_id_5,舌剥苔,tongue
tongue_id_6,舌剥落,tongue
tongue_id_7,舌大,tongue
tongue_id_8,舌头涩,tongue
tongue_id_9,舌嫩,tongue
tongue_id_10,舌少津,tongue
tongue_id_11,舌少苔,tongue
tongue_id_12,舌尖紫红,tongue
tongue_id_13,舌尖红,tongue
tongue_id_14,舌尖红刺,tongue
tongue_id_15,舌尖绛,tongue
tongue_id_16,舌干,tongue
tongue_id_17,舌心厚,tongue
tongue_id_18,舌心浊,tongue
tongue_id_19,舌心焦黑,tongue
tongue_id_20,舌心裂,tongue
tongue_id_21,舌心黄,tongue
tongue_id_22,舌心黄灰,tongue
tongue_id_23,舌心黑,tongue
tongue_id_24,舌无津,tongue
tongue_id_25,舌无苔,tongue
tongue_id_26,舌暗,tongue
tongue_id_27,舌根厚,tongue
tongue_id_28,舌根浊,tongue
tongue_id_29,舌根滑,tongue
tongue_id_30,舌根红,tongue
tongue_id_31,舌根腻,tongue
tongue_id_32,舌根黄,tongue
tongue_id_33,舌歪斜,tongue
tongue_id_34,舌沉滞,tongue
tongue_id_35,舌润,tongue
tongue_id_36,舌涩,tongue
tongue_id_37,舌燥,tongue
tongue_id_38,舌瘀斑,tongue
tongue_id_39,舌瘀斑点,tongue
tongue_id_40,舌瘀点,tongue
tongue_id_41,舌瘦,tongue
tongue_id_42,舌绛,tongue
tongue_id_43,舌绛白,tongue
tongue_id_44,舌绛红,tongue
tongue_id_45,舌肿大,tongue
tongue_id_46,舌胖,tongue
tongue_id_47,舌胖大,tongue
tongue_id_48,舌色暗,tongue
tongue_id_49,舌色暗紫,tongue
tongue_id_50,舌色暗红,tongue
tongue_id_51,舌色淡,tongue
tongue_id_52,舌色淡润,tongue
tongue_id_53,舌色淡白,tongue
tongue_id_54,舌色淡紫,tongue
tongue_id_55,舌色淡紫黯,tongue
tongue_id_56,舌色淡红,tongue
tongue_id_57,舌色淡胖,tongue
tongue_id_58,舌色淡黯,tongue
tongue_id_59,舌色深红,tongue
tongue_id_60,舌色灰,tongue
tongue_id_61,舌色白,tongue
tongue_id_62,舌色紫,tongue
tongue_id_63,舌色紫红,tongue
tongue_id_64,舌色紫红黯,tongue
tongue_id_65,舌色紫黑,tongue
tongue_id_66,舌色紫黯,tongue
tongue_id_67,舌色紫黯淡,tongue
tongue_id_68,舌色红,tongue
tongue_id_69,舌色红润,tongue
tongue_id_70,舌色红紫,tongue
tongue_id_71,舌色黄,tongue
tongue_id_72,舌色黑,tongue
tongue_id_73,舌色黯,tongue
tongue_id_74,舌色黯淡,tongue
tongue_id_75,舌色黯淡红,tongue
tongue_id_76,舌色黯紫,tongue
tongue_id_77,舌色黯红,tongue
tongue_id_78,舌色黯红紫,tongue
tongue_id_79,舌芒刺,tongue
tongue_id_80,舌芤,tongue
tongue_id_81,舌苔光,tongue
tongue_id_82,舌苔剥落,tongue
tongue_id_83,舌苔厚,tongue
tongue_id_84,舌苔厚腻,tongue
tongue_id_85,舌苔少,tongue
tongue_id_86,舌苔干,tongue
tongue_id_87,舌苔无,tongue
tongue_id_88,舌苔正常,tongue
tongue_id_89,舌苔毛,tongue
tongue_id_90,舌苔水,tongue
tongue_id_91,舌苔水滑,tongue
tongue_id_92,舌苔浊,tongue
tongue_id_93,舌苔浮,tongue
tongue_id_94,舌苔润,tongue
tongue_id_95,舌苔涩,tongue
tongue_id_96,舌苔淡,tongue
tongue_id_97,舌苔滑,tongue
tongue_id_98,舌苔满布,tongue
tongue_id_99,舌苔灰,tongue
tongue_id_100,舌苔灰黄,tongue
tongue_id_101,舌苔灰黑,tongue
tongue_id_102,舌苔燥,tongue
tongue_id_103,舌苔白,tongue
tongue_id_104,舌苔白黄,tongue
tongue_id_105,舌苔糙,tongue
tongue_id_106,舌苔红,tongue
tongue_id_107,舌苔绛,tongue
tongue_id_108,舌苔胖,tongue
tongue_id_109,舌苔腐碎,tongue
tongue_id_110,舌苔腐黄,tongue
tongue_id_111,舌苔腻,tongue
tongue_id_112,舌苔花,tongue
tongue_id_113,舌苔薄,tongue
tongue_id_114,舌苔薄白,tongue
tongue_id_115,舌苔躁,tongue
tongue_id_116,舌苔霉,tongue
tongue_id_117,舌苔黄,tongue
tongue_id_118,舌苔黄白,tongue
tongue_id_119,舌苔黄腻,tongue
tongue_id_120,舌苔黑,tongue
tongue_id_121,舌血疮,tongue
tongue_id_122,舌裂,tongue
tongue_id_123,舌裂纹,tongue
tongue_id_124,舌质嫩,tongue
tongue_id_125,舌质嫩光,tongue
tongue_id_126,舌质嫩淡,tongue
tongue_id_127,舌质嫩红,tongue
tongue_id_128,舌质嫩青紫,tongue
tongue_id_129,舌质暗,tongue
tongue_id_130,舌软,tongue
tongue_id_131,舌边尖瘀点,tongue
tongue_id_132,舌边布苔,tongue
tongue_id_133,舌边暗,tongue
tongue_id_134,舌边润,tongue
tongue_id_135,舌边滑,tongue
tongue_id_136,舌边瘀点,tongue
tongue_id_137,舌边紫,tongue
tongue_id_138,舌边红,tongue
tongue_id_139,舌边红刺,tongue
tongue_id_140,舌边红点,tongue
tongue_id_141,舌边腻,tongue
tongue_id_142,舌边薄,tongue
tongue_id_143,舌边黄,tongue
tongue_id_144,舌齿痕,tongue
tongue_id_145,镜面舌,tongue
tongue_id_146,青紫舌,tongue
tongue_id_147,齿痕舌,tongue
