:START_ID,:END_ID,relation,:TYPE
herb_id_1,Dosage-Administration_id_33,has_Dosage-Administration,Dosage-Administration
herb_id_2,Dosage-Administration_id_84,has_Dosage-Administration,Dosage-Administration
herb_id_3,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_4,Dosage-Administration_id_97,has_Dosage-Administration,Dosage-Administration
herb_id_5,Dosage-Administration_id_16,has_Dosage-Administration,Dosage-Administration
herb_id_6,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_7,Dosage-Administration_id_301,has_Dosage-Administration,Dosage-Administration
herb_id_8,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_9,Dosage-Administration_id_357,has_Dosage-Administration,Dosage-Administration
herb_id_10,Dosage-Administration_id_99,has_Dosage-Administration,Dosage-Administration
herb_id_11,Dosage-Administration_id_194,has_Dosage-Administration,Dosage-Administration
herb_id_12,Dosage-Administration_id_245,has_Dosage-Administration,Dosage-Administration
herb_id_13,Dosage-Administration_id_308,has_Dosage-Administration,Dosage-Administration
herb_id_14,Dosage-Administration_id_238,has_Dosage-Administration,Dosage-Administration
herb_id_15,Dosage-Administration_id_225,has_Dosage-Administration,Dosage-Administration
herb_id_16,Dosage-Administration_id_383,has_Dosage-Administration,Dosage-Administration
herb_id_17,Dosage-Administration_id_64,has_Dosage-Administration,Dosage-Administration
herb_id_18,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_19,Dosage-Administration_id_40,has_Dosage-Administration,Dosage-Administration
herb_id_20,Dosage-Administration_id_85,has_Dosage-Administration,Dosage-Administration
herb_id_21,Dosage-Administration_id_395,has_Dosage-Administration,Dosage-Administration
herb_id_22,Dosage-Administration_id_81,has_Dosage-Administration,Dosage-Administration
herb_id_23,Dosage-Administration_id_153,has_Dosage-Administration,Dosage-Administration
herb_id_24,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_25,Dosage-Administration_id_103,has_Dosage-Administration,Dosage-Administration
herb_id_26,Dosage-Administration_id_227,has_Dosage-Administration,Dosage-Administration
herb_id_27,Dosage-Administration_id_53,has_Dosage-Administration,Dosage-Administration
herb_id_28,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_29,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_30,Dosage-Administration_id_139,has_Dosage-Administration,Dosage-Administration
herb_id_31,Dosage-Administration_id_103,has_Dosage-Administration,Dosage-Administration
herb_id_33,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_34,Dosage-Administration_id_28,has_Dosage-Administration,Dosage-Administration
herb_id_35,Dosage-Administration_id_210,has_Dosage-Administration,Dosage-Administration
herb_id_36,Dosage-Administration_id_132,has_Dosage-Administration,Dosage-Administration
herb_id_37,Dosage-Administration_id_19,has_Dosage-Administration,Dosage-Administration
herb_id_38,Dosage-Administration_id_61,has_Dosage-Administration,Dosage-Administration
herb_id_39,Dosage-Administration_id_16,has_Dosage-Administration,Dosage-Administration
herb_id_40,Dosage-Administration_id_115,has_Dosage-Administration,Dosage-Administration
herb_id_41,Dosage-Administration_id_249,has_Dosage-Administration,Dosage-Administration
herb_id_42,Dosage-Administration_id_151,has_Dosage-Administration,Dosage-Administration
herb_id_43,Dosage-Administration_id_168,has_Dosage-Administration,Dosage-Administration
herb_id_44,Dosage-Administration_id_132,has_Dosage-Administration,Dosage-Administration
herb_id_45,Dosage-Administration_id_187,has_Dosage-Administration,Dosage-Administration
herb_id_46,Dosage-Administration_id_216,has_Dosage-Administration,Dosage-Administration
herb_id_47,Dosage-Administration_id_203,has_Dosage-Administration,Dosage-Administration
