:START_ID,:END_ID,relation,:TYPE
herb_id_1,concoct_id_255,has_concoct,concoct
herb_id_3,concoct_id_238,has_concoct,concoct
herb_id_4,concoct_id_273,has_concoct,concoct
herb_id_5,concoct_id_173,has_concoct,concoct
herb_id_8,concoct_id_203,has_concoct,concoct
herb_id_9,concoct_id_10,has_concoct,concoct
herb_id_11,concoct_id_59,has_concoct,concoct
herb_id_13,concoct_id_112,has_concoct,concoct
herb_id_16,concoct_id_71,has_concoct,concoct
herb_id_18,concoct_id_215,has_concoct,concoct
herb_id_19,concoct_id_162,has_concoct,concoct
herb_id_21,concoct_id_150,has_concoct,concoct
herb_id_22,concoct_id_131,has_concoct,concoct
herb_id_24,concoct_id_198,has_concoct,concoct
herb_id_25,concoct_id_271,has_concoct,concoct
herb_id_26,concoct_id_249,has_concoct,concoct
herb_id_27,concoct_id_198,has_concoct,concoct
herb_id_28,concoct_id_185,has_concoct,concoct
herb_id_29,concoct_id_231,has_concoct,concoct
herb_id_30,concoct_id_162,has_concoct,concoct
herb_id_31,concoct_id_277,has_concoct,concoct
herb_id_32,concoct_id_11,has_concoct,concoct
herb_id_33,concoct_id_132,has_concoct,concoct
herb_id_34,concoct_id_153,has_concoct,concoct
herb_id_38,concoct_id_203,has_concoct,concoct
herb_id_39,concoct_id_198,has_concoct,concoct
herb_id_40,concoct_id_74,has_concoct,concoct
herb_id_44,concoct_id_197,has_concoct,concoct
herb_id_49,concoct_id_205,has_concoct,concoct
herb_id_52,concoct_id_108,has_concoct,concoct
herb_id_54,concoct_id_38,has_concoct,concoct
herb_id_55,concoct_id_9,has_concoct,concoct
herb_id_56,concoct_id_36,has_concoct,concoct
herb_id_57,concoct_id_50,has_concoct,concoct
herb_id_58,concoct_id_203,has_concoct,concoct
herb_id_59,concoct_id_136,has_concoct,concoct
herb_id_60,concoct_id_147,has_concoct,concoct
herb_id_61,concoct_id_63,has_concoct,concoct
herb_id_62,concoct_id_222,has_concoct,concoct
herb_id_64,concoct_id_89,has_concoct,concoct
herb_id_65,concoct_id_274,has_concoct,concoct
herb_id_66,concoct_id_83,has_concoct,concoct
herb_id_72,concoct_id_266,has_concoct,concoct
herb_id_73,concoct_id_3,has_concoct,concoct
herb_id_78,concoct_id_160,has_concoct,concoct
herb_id_81,concoct_id_219,has_concoct,concoct
herb_id_83,concoct_id_114,has_concoct,concoct
herb_id_86,concoct_id_200,has_concoct,concoct
herb_id_88,concoct_id_194,has_concoct,concoct
herb_id_89,concoct_id_14,has_concoct,concoct
herb_id_92,concoct_id_165,has_concoct,concoct
herb_id_93,concoct_id_233,has_concoct,concoct
herb_id_94,concoct_id_198,has_concoct,concoct
herb_id_95,concoct_id_276,has_concoct,concoct
herb_id_96,concoct_id_245,has_concoct,concoct
herb_id_99,concoct_id_210,has_concoct,concoct
herb_id_100,concoct_id_198,has_concoct,concoct
herb_id_101,concoct_id_101,has_concoct,concoct
herb_id_104,concoct_id_190,has_concoct,concoct
herb_id_105,concoct_id_212,has_concoct,concoct
herb_id_106,concoct_id_95,has_concoct,concoct
herb_id_107,concoct_id_260,has_concoct,concoct
herb_id_112,concoct_id_146,has_concoct,concoct
herb_id_116,concoct_id_62,has_concoct,concoct
herb_id_117,concoct_id_203,has_concoct,concoct
herb_id_118,concoct_id_13,has_concoct,concoct
herb_id_120,concoct_id_23,has_concoct,concoct
herb_id_121,concoct_id_242,has_concoct,concoct
herb_id_123,concoct_id_154,has_concoct,concoct
herb_id_125,concoct_id_104,has_concoct,concoct
herb_id_127,concoct_id_220,has_concoct,concoct
herb_id_129,concoct_id_160,has_concoct,concoct
herb_id_130,concoct_id_77,has_concoct,concoct
herb_id_131,concoct_id_15,has_concoct,concoct
herb_id_136,concoct_id_280,has_concoct,concoct
herb_id_138,concoct_id_171,has_concoct,concoct
herb_id_139,concoct_id_45,has_concoct,concoct
herb_id_140,concoct_id_156,has_concoct,concoct
herb_id_141,concoct_id_84,has_concoct,concoct
herb_id_142,concoct_id_67,has_concoct,concoct
herb_id_143,concoct_id_117,has_concoct,concoct
herb_id_145,concoct_id_265,has_concoct,concoct
herb_id_146,concoct_id_162,has_concoct,concoct
herb_id_147,concoct_id_170,has_concoct,concoct
herb_id_148,concoct_id_116,has_concoct,concoct
herb_id_151,concoct_id_160,has_concoct,concoct
herb_id_153,concoct_id_88,has_concoct,concoct
herb_id_154,concoct_id_241,has_concoct,concoct
herb_id_157,concoct_id_206,has_concoct,concoct
herb_id_159,concoct_id_217,has_concoct,concoct
herb_id_161,concoct_id_259,has_concoct,concoct
herb_id_162,concoct_id_234,has_concoct,concoct
herb_id_163,concoct_id_97,has_concoct,concoct
herb_id_166,concoct_id_226,has_concoct,concoct
herb_id_169,concoct_id_86,has_concoct,concoct
herb_id_170,concoct_id_267,has_concoct,concoct
herb_id_176,concoct_id_264,has_concoct,concoct
herb_id_177,concoct_id_240,has_concoct,concoct
herb_id_178,concoct_id_195,has_concoct,concoct
herb_id_179,concoct_id_235,has_concoct,concoct
herb_id_181,concoct_id_141,has_concoct,concoct
herb_id_182,concoct_id_2,has_concoct,concoct
herb_id_183,concoct_id_152,has_concoct,concoct
herb_id_184,concoct_id_111,has_concoct,concoct
herb_id_185,concoct_id_215,has_concoct,concoct
herb_id_187,concoct_id_278,has_concoct,concoct
herb_id_188,concoct_id_257,has_concoct,concoct
herb_id_189,concoct_id_221,has_concoct,concoct
herb_id_190,concoct_id_220,has_concoct,concoct
herb_id_193,concoct_id_172,has_concoct,concoct
herb_id_195,concoct_id_201,has_concoct,concoct
herb_id_197,concoct_id_250,has_concoct,concoct
herb_id_198,concoct_id_51,has_concoct,concoct
herb_id_202,concoct_id_76,has_concoct,concoct
herb_id_203,concoct_id_215,has_concoct,concoct
herb_id_204,concoct_id_162,has_concoct,concoct
herb_id_206,concoct_id_246,has_concoct,concoct
herb_id_207,concoct_id_99,has_concoct,concoct
herb_id_208,concoct_id_143,has_concoct,concoct
herb_id_210,concoct_id_258,has_concoct,concoct
herb_id_215,concoct_id_19,has_concoct,concoct
herb_id_217,concoct_id_211,has_concoct,concoct
herb_id_218,concoct_id_167,has_concoct,concoct
herb_id_220,concoct_id_239,has_concoct,concoct
herb_id_221,concoct_id_205,has_concoct,concoct
herb_id_224,concoct_id_92,has_concoct,concoct
herb_id_225,concoct_id_144,has_concoct,concoct
herb_id_226,concoct_id_166,has_concoct,concoct
herb_id_228,concoct_id_130,has_concoct,concoct
herb_id_231,concoct_id_263,has_concoct,concoct
herb_id_232,concoct_id_266,has_concoct,concoct
herb_id_233,concoct_id_203,has_concoct,concoct
herb_id_236,concoct_id_266,has_concoct,concoct
herb_id_237,concoct_id_247,has_concoct,concoct
