:START_ID,:END_ID,relation,:TYPE
herb_id_1,meridians-tropism_id_11,has_meridians-tropism,meridians-tropism
herb_id_1,meridians-tropism_id_9,has_meridians-tropism,meridians-tropism
herb_id_1,meridians-tropism_id_7,has_meridians-tropism,meridians-tropism
herb_id_1,meridians-tropism_id_8,has_meridians-tropism,meridians-tropism
herb_id_2,meridians-tropism_id_6,has_meridians-tropism,meridians-tropism
herb_id_2,meridians-tropism_id_9,has_meridians-tropism,meridians-tropism
herb_id_3,meridians-tropism_id_6,has_meridians-tropism,meridians-tropism
herb_id_3,meridians-tropism_id_11,has_meridians-tropism,meridians-tropism
herb_id_4,meridians-tropism_id_7,has_meridians-tropism,meridians-tropism
herb_id_4,meridians-tropism_id_9,has_meridians-tropism,meridians-tropism
herb_id_4,meridians-tropism_id_6,has_meridians-tropism,meridians-tropism
herb_id_5,meridians-tropism_id_4,has_meridians-tropism,meridians-tropism
herb_id_5,meridians-tropism_id_6,has_meridians-tropism,meridians-tropism
herb_id_6,meridians-tropism_id_4,has_meridians-tropism,meridians-tropism
herb_id_6,meridians-tropism_id_6,has_meridians-tropism,meridians-tropism
herb_id_6,meridians-tropism_id_8,has_meridians-tropism,meridians-tropism
herb_id_7,meridians-tropism_id_4,has_meridians-tropism,meridians-tropism
herb_id_7,meridians-tropism_id_6,has_meridians-tropism,meridians-tropism
herb_id_7,meridians-tropism_id_8,has_meridians-tropism,meridians-tropism
herb_id_7,meridians-tropism_id_11,has_meridians-tropism,meridians-tropism
herb_id_8,meridians-tropism_id_6,has_meridians-tropism,meridians-tropism
herb_id_8,meridians-tropism_id_11,has_meridians-tropism,meridians-tropism
herb_id_8,meridians-tropism_id_7,has_meridians-tropism,meridians-tropism
herb_id_8,meridians-tropism_id_2,has_meridians-tropism,meridians-tropism
herb_id_9,meridians-tropism_id_6,has_meridians-tropism,meridians-tropism
herb_id_9,meridians-tropism_id_11,has_meridians-tropism,meridians-tropism
herb_id_9,meridians-tropism_id_7,has_meridians-tropism,meridians-tropism
herb_id_9,meridians-tropism_id_2,has_meridians-tropism,meridians-tropism
herb_id_10,meridians-tropism_id_7,has_meridians-tropism,meridians-tropism
