:START_ID,:END_ID,relation,:TYPE
herb_id_1,symptom_id_686,relieves_symptom,symptom
herb_id_1,symptom_id_688,relieves_symptom,symptom
herb_id_1,symptom_id_1636,relieves_symptom,symptom
herb_id_1,symptom_id_3348,relieves_symptom,symptom
herb_id_1,symptom_id_3732,relieves_symptom,symptom
herb_id_1,symptom_id_4589,relieves_symptom,symptom
herb_id_2,symptom_id_280,relieves_symptom,symptom
herb_id_2,symptom_id_663,relieves_symptom,symptom
herb_id_2,symptom_id_737,relieves_symptom,symptom
herb_id_2,symptom_id_1035,relieves_symptom,symptom
herb_id_2,symptom_id_1458,relieves_symptom,symptom
herb_id_2,symptom_id_3566,relieves_symptom,symptom
herb_id_2,symptom_id_4100,relieves_symptom,symptom
herb_id_2,symptom_id_4207,relieves_symptom,symptom
herb_id_3,symptom_id_1613,relieves_symptom,symptom
herb_id_3,symptom_id_2526,relieves_symptom,symptom
herb_id_3,symptom_id_2624,relieves_symptom,symptom
herb_id_3,symptom_id_2629,relieves_symptom,symptom
herb_id_3,symptom_id_3534,relieves_symptom,symptom
herb_id_3,symptom_id_4623,relieves_symptom,symptom
herb_id_4,symptom_id_164,relieves_symptom,symptom
herb_id_4,symptom_id_168,relieves_symptom,symptom
herb_id_4,symptom_id_2613,relieves_symptom,symptom
herb_id_4,symptom_id_3551,relieves_symptom,symptom
herb_id_5,symptom_id_1601,relieves_symptom,symptom
herb_id_5,symptom_id_1613,relieves_symptom,symptom
herb_id_5,symptom_id_2009,relieves_symptom,symptom
herb_id_5,symptom_id_2350,relieves_symptom,symptom
herb_id_5,symptom_id_2445,relieves_symptom,symptom
herb_id_5,symptom_id_2527,relieves_symptom,symptom
herb_id_5,symptom_id_2651,relieves_symptom,symptom
herb_id_5,symptom_id_3534,relieves_symptom,symptom
herb_id_5,symptom_id_3681,relieves_symptom,symptom
herb_id_6,symptom_id_667,relieves_symptom,symptom
herb_id_6,symptom_id_1069,relieves_symptom,symptom
herb_id_6,symptom_id_1937,relieves_symptom,symptom
herb_id_6,symptom_id_2234,relieves_symptom,symptom
herb_id_6,symptom_id_2325,relieves_symptom,symptom
herb_id_6,symptom_id_2505,relieves_symptom,symptom
herb_id_6,symptom_id_3089,relieves_symptom,symptom
herb_id_6,symptom_id_4205,relieves_symptom,symptom
herb_id_7,symptom_id_4539,relieves_symptom,symptom
