:START_ID,:END_ID,relation,:TYPE
herb_id_1,taboo_id_15,has_taboo,taboo
herb_id_3,taboo_id_78,has_taboo,taboo
herb_id_5,taboo_id_12,has_taboo,taboo
herb_id_6,taboo_id_67,has_taboo,taboo
herb_id_7,taboo_id_44,has_taboo,taboo
herb_id_9,taboo_id_92,has_taboo,taboo
herb_id_12,taboo_id_220,has_taboo,taboo
herb_id_13,taboo_id_48,has_taboo,taboo
herb_id_20,taboo_id_1,has_taboo,taboo
herb_id_21,taboo_id_184,has_taboo,taboo
herb_id_22,taboo_id_14,has_taboo,taboo
herb_id_23,taboo_id_214,has_taboo,taboo
herb_id_26,taboo_id_66,has_taboo,taboo
herb_id_30,taboo_id_100,has_taboo,taboo
herb_id_35,taboo_id_175,has_taboo,taboo
herb_id_36,taboo_id_12,has_taboo,taboo
herb_id_38,taboo_id_75,has_taboo,taboo
herb_id_42,taboo_id_165,has_taboo,taboo
herb_id_46,taboo_id_164,has_taboo,taboo
herb_id_47,taboo_id_99,has_taboo,taboo
herb_id_48,taboo_id_67,has_taboo,taboo
herb_id_50,taboo_id_158,has_taboo,taboo
herb_id_51,taboo_id_173,has_taboo,taboo
herb_id_52,taboo_id_137,has_taboo,taboo
herb_id_53,taboo_id_115,has_taboo,taboo
herb_id_54,taboo_id_62,has_taboo,taboo
herb_id_56,taboo_id_68,has_taboo,taboo
herb_id_57,taboo_id_64,has_taboo,taboo
herb_id_58,taboo_id_125,has_taboo,taboo
herb_id_60,taboo_id_68,has_taboo,taboo
herb_id_61,taboo_id_63,has_taboo,taboo
herb_id_63,taboo_id_149,has_taboo,taboo
herb_id_64,taboo_id_109,has_taboo,taboo
herb_id_65,taboo_id_12,has_taboo,taboo
herb_id_66,taboo_id_189,has_taboo,taboo
herb_id_67,taboo_id_17,has_taboo,taboo
herb_id_69,taboo_id_8,has_taboo,taboo
herb_id_70,taboo_id_35,has_taboo,taboo
herb_id_71,taboo_id_178,has_taboo,taboo
herb_id_72,taboo_id_12,has_taboo,taboo
herb_id_74,taboo_id_199,has_taboo,taboo
herb_id_76,taboo_id_197,has_taboo,taboo
herb_id_80,taboo_id_75,has_taboo,taboo
herb_id_82,taboo_id_142,has_taboo,taboo
herb_id_85,taboo_id_75,has_taboo,taboo
herb_id_86,taboo_id_31,has_taboo,taboo
herb_id_95,taboo_id_148,has_taboo,taboo
herb_id_98,taboo_id_62,has_taboo,taboo
herb_id_101,taboo_id_152,has_taboo,taboo
herb_id_102,taboo_id_65,has_taboo,taboo
herb_id_105,taboo_id_57,has_taboo,taboo
herb_id_106,taboo_id_26,has_taboo,taboo
herb_id_108,taboo_id_71,has_taboo,taboo
herb_id_110,taboo_id_73,has_taboo,taboo
herb_id_112,taboo_id_69,has_taboo,taboo
herb_id_113,taboo_id_160,has_taboo,taboo
herb_id_116,taboo_id_79,has_taboo,taboo
herb_id_118,taboo_id_7,has_taboo,taboo
