:START_ID,:END_ID,relation,:TYPE
herb_id_7,toxicity_id_4,has_toxicity,toxicity
herb_id_24,toxicity_id_6,has_toxicity,toxicity
herb_id_34,toxicity_id_3,has_toxicity,toxicity
herb_id_38,toxicity_id_6,has_toxicity,toxicity
herb_id_52,toxicity_id_3,has_toxicity,toxicity
herb_id_56,toxicity_id_6,has_toxicity,toxicity
herb_id_57,toxicity_id_6,has_toxicity,toxicity
herb_id_58,toxicity_id_4,has_toxicity,toxicity
herb_id_60,toxicity_id_6,has_toxicity,toxicity
herb_id_66,toxicity_id_2,has_toxicity,toxicity
herb_id_69,toxicity_id_6,has_toxicity,toxicity
herb_id_78,toxicity_id_5,has_toxicity,toxicity
herb_id_79,toxicity_id_6,has_toxicity,toxicity
herb_id_80,toxicity_id_5,has_toxicity,toxicity
herb_id_85,toxicity_id_5,has_toxicity,toxicity
herb_id_87,toxicity_id_2,has_toxicity,toxicity
herb_id_98,toxicity_id_4,has_toxicity,toxicity
herb_id_108,toxicity_id_6,has_toxicity,toxicity
herb_id_136,toxicity_id_2,has_toxicity,toxicity
herb_id_146,toxicity_id_5,has_toxicity,toxicity
herb_id_149,toxicity_id_6,has_toxicity,toxicity
herb_id_153,toxicity_id_6,has_toxicity,toxicity
herb_id_155,toxicity_id_6,has_toxicity,toxicity
herb_id_180,toxicity_id_6,has_toxicity,toxicity
herb_id_181,toxicity_id_5,has_toxicity,toxicity
herb_id_216,toxicity_id_2,has_toxicity,toxicity
herb_id_227,toxicity_id_6,has_toxicity,toxicity
herb_id_230,toxicity_id_5,has_toxicity,toxicity
herb_id_239,toxicity_id_6,has_toxicity,toxicity
herb_id_299,toxicity_id_2,has_toxicity,toxicity
herb_id_305,toxicity_id_6,has_toxicity,toxicity
herb_id_310,toxicity_id_6,has_toxicity,toxicity
herb_id_323,toxicity_id_6,has_toxicity,toxicity
herb_id_329,toxicity_id_6,has_toxicity,toxicity
herb_id_331,toxicity_id_6,has_toxicity,toxicity
herb_id_351,toxicity_id_6,has_toxicity,toxicity
herb_id_358,toxicity_id_6,has_toxicity,toxicity
herb_id_365,toxicity_id_6,has_toxicity,toxicity
herb_id_373,toxicity_id_6,has_toxicity,toxicity
herb_id_378,toxicity_id_5,has_toxicity,toxicity
herb_id_390,toxicity_id_2,has_toxicity,toxicity
herb_id_391,toxicity_id_2,has_toxicity,toxicity
herb_id_400,toxicity_id_6,has_toxicity,toxicity
herb_id_408,toxicity_id_1,has_toxicity,toxicity
herb_id_445,toxicity_id_6,has_toxicity,toxicity
herb_id_448,toxicity_id_2,has_toxicity,toxicity
herb_id_457,toxicity_id_6,has_toxicity,toxicity
herb_id_465,toxicity_id_5,has_toxicity,toxicity
herb_id_472,toxicity_id_6,has_toxicity,toxicity
herb_id_481,toxicity_id_6,has_toxicity,toxicity
herb_id_491,toxicity_id_5,has_toxicity,toxicity
herb_id_492,toxicity_id_6,has_toxicity,toxicity
herb_id_502,toxicity_id_4,has_toxicity,toxicity
herb_id_535,toxicity_id_5,has_toxicity,toxicity
herb_id_544,toxicity_id_6,has_toxicity,toxicity
herb_id_548,toxicity_id_6,has_toxicity,toxicity
herb_id_550,toxicity_id_5,has_toxicity,toxicity
herb_id_555,toxicity_id_5,has_toxicity,toxicity
herb_id_556,toxicity_id_6,has_toxicity,toxicity
herb_id_560,toxicity_id_6,has_toxicity,toxicity
herb_id_581,toxicity_id_2,has_toxicity,toxicity
herb_id_606,toxicity_id_2,has_toxicity,toxicity
herb_id_613,toxicity_id_2,has_toxicity,toxicity
herb_id_622,toxicity_id_4,has_toxicity,toxicity
herb_id_628,toxicity_id_6,has_toxicity,toxicity
herb_id_631,toxicity_id_6,has_toxicity,toxicity
herb_id_632,toxicity_id_2,has_toxicity,toxicity
herb_id_660,toxicity_id_5,has_toxicity,toxicity
herb_id_680,toxicity_id_6,has_toxicity,toxicity
herb_id_681,toxicity_id_6,has_toxicity,toxicity
