:START_ID,:END_ID,relation,:TYPE
syndrome_id_231,cause-disease_id_42,has_cause,cause
syndrome_id_255,cause-disease_id_160,has_cause,cause
syndrome_id_663,cause-disease_id_95,has_cause,cause
syndrome_id_643,cause-disease_id_158,has_cause,cause
syndrome_id_75,cause-disease_id_79,has_cause,cause
syndrome_id_568,cause-disease_id_116,has_cause,cause
syndrome_id_523,cause-disease_id_107,has_cause,cause
syndrome_id_80,cause-disease_id_16,has_cause,cause
syndrome_id_81,cause-disease_id_135,has_cause,cause
syndrome_id_74,cause-disease_id_10,has_cause,cause
syndrome_id_656,cause-disease_id_1,has_cause,cause
syndrome_id_711,cause-disease_id_160,has_cause,cause
syndrome_id_670,cause-disease_id_148,has_cause,cause
syndrome_id_670,cause-disease_id_6,has_cause,cause
syndrome_id_667,cause-disease_id_148,has_cause,cause
syndrome_id_667,cause-disease_id_54,has_cause,cause
syndrome_id_105,cause-disease_id_148,has_cause,cause
syndrome_id_105,cause-disease_id_54,has_cause,cause
syndrome_id_76,cause-disease_id_148,has_cause,cause
syndrome_id_76,cause-disease_id_32,has_cause,cause
syndrome_id_214,cause-disease_id_148,has_cause,cause
syndrome_id_651,cause-disease_id_57,has_cause,cause
syndrome_id_660,cause-disease_id_132,has_cause,cause
syndrome_id_653,cause-disease_id_70,has_cause,cause
syndrome_id_301,cause-disease_id_70,has_cause,cause
syndrome_id_301,cause-disease_id_139,has_cause,cause
syndrome_id_654,cause-disease_id_70,has_cause,cause
syndrome_id_710,cause-disease_id_160,has_cause,cause
syndrome_id_652,cause-disease_id_66,has_cause,cause
syndrome_id_652,cause-disease_id_99,has_cause,cause
syndrome_id_657,cause-disease_id_79,has_cause,cause
syndrome_id_658,cause-disease_id_18,has_cause,cause
syndrome_id_244,cause-disease_id_79,has_cause,cause
syndrome_id_271,cause-disease_id_56,has_cause,cause
syndrome_id_650,cause-disease_id_145,has_cause,cause
syndrome_id_34,cause-disease_id_9,has_cause,cause
syndrome_id_68,cause-disease_id_9,has_cause,cause
syndrome_id_288,cause-disease_id_61,has_cause,cause
syndrome_id_733,cause-disease_id_65,has_cause,cause
syndrome_id_717,cause-disease_id_157,has_cause,cause
syndrome_id_717,cause-disease_id_88,has_cause,cause
syndrome_id_375,cause-disease_id_88,has_cause,cause
syndrome_id_375,cause-disease_id_43,has_cause,cause
syndrome_id_391,cause-disease_id_90,has_cause,cause
syndrome_id_265,cause-disease_id_14,has_cause,cause
syndrome_id_265,cause-disease_id_64,has_cause,cause
syndrome_id_406,cause-disease_id_88,has_cause,cause
syndrome_id_379,cause-disease_id_88,has_cause,cause
syndrome_id_378,cause-disease_id_88,has_cause,cause
syndrome_id_387,cause-disease_id_89,has_cause,cause
syndrome_id_386,cause-disease_id_89,has_cause,cause
syndrome_id_396,cause-disease_id_91,has_cause,cause
syndrome_id_476,cause-disease_id_12,has_cause,cause
syndrome_id_476,cause-disease_id_88,has_cause,cause
syndrome_id_476,cause-disease_id_75,has_cause,cause
syndrome_id_132,cause-disease_id_25,has_cause,cause
syndrome_id_132,cause-disease_id_15,has_cause,cause
syndrome_id_132,cause-disease_id_142,has_cause,cause
syndrome_id_270,cause-disease_id_52,has_cause,cause
syndrome_id_430,cause-disease_id_93,has_cause,cause
syndrome_id_246,cause-disease_id_47,has_cause,cause
syndrome_id_261,cause-disease_id_46,has_cause,cause
syndrome_id_261,cause-disease_id_155,has_cause,cause
syndrome_id_247,cause-disease_id_46,has_cause,cause
syndrome_id_432,cause-disease_id_48,has_cause,cause
syndrome_id_280,cause-disease_id_48,has_cause,cause
syndrome_id_256,cause-disease_id_49,has_cause,cause
syndrome_id_262,cause-disease_id_164,has_cause,cause
syndrome_id_281,cause-disease_id_46,has_cause,cause
syndrome_id_115,cause-disease_id_23,has_cause,cause
syndrome_id_433,cause-disease_id_46,has_cause,cause
syndrome_id_263,cause-disease_id_44,has_cause,cause
syndrome_id_242,cause-disease_id_45,has_cause,cause
syndrome_id_263,cause-disease_id_43,has_cause,cause
syndrome_id_614,cause-disease_id_133,has_cause,cause
syndrome_id_609,cause-disease_id_133,has_cause,cause
syndrome_id_609,cause-disease_id_23,has_cause,cause
syndrome_id_612,cause-disease_id_133,has_cause,cause
syndrome_id_612,cause-disease_id_157,has_cause,cause
syndrome_id_598,cause-disease_id_129,has_cause,cause
