:START_ID,:END_ID,relation,:TYPE
syndrome_id_231,disease-location_id_2,has_location,location
syndrome_id_255,disease-location_id_32,has_location,location
syndrome_id_663,disease-location_id_15,has_location,location
syndrome_id_663,disease-location_id_65,has_location,location
syndrome_id_643,disease-location_id_15,has_location,location
syndrome_id_643,disease-location_id_68,has_location,location
syndrome_id_75,disease-location_id_15,has_location,location
syndrome_id_75,disease-location_id_48,has_location,location
syndrome_id_568,disease-location_id_15,has_location,location
syndrome_id_523,disease-location_id_15,has_location,location
syndrome_id_80,disease-location_id_15,has_location,location
syndrome_id_81,disease-location_id_15,has_location,location
syndrome_id_74,disease-location_id_15,has_location,location
syndrome_id_656,disease-location_id_15,has_location,location
syndrome_id_656,disease-location_id_70,has_location,location
syndrome_id_656,disease-location_id_53,has_location,location
syndrome_id_711,disease-location_id_48,has_location,location
syndrome_id_670,disease-location_id_15,has_location,location
syndrome_id_670,disease-location_id_68,has_location,location
syndrome_id_667,disease-location_id_15,has_location,location
syndrome_id_105,disease-location_id_15,has_location,location
syndrome_id_76,disease-location_id_15,has_location,location
syndrome_id_214,disease-location_id_28,has_location,location
syndrome_id_651,disease-location_id_70,has_location,location
syndrome_id_660,disease-location_id_70,has_location,location
syndrome_id_653,disease-location_id_70,has_location,location
syndrome_id_653,disease-location_id_68,has_location,location
syndrome_id_301,disease-location_id_70,has_location,location
syndrome_id_301,disease-location_id_6,has_location,location
syndrome_id_654,disease-location_id_70,has_location,location
syndrome_id_710,disease-location_id_12,has_location,location
syndrome_id_652,disease-location_id_70,has_location,location
syndrome_id_657,disease-location_id_70,has_location,location
syndrome_id_658,disease-location_id_70,has_location,location
syndrome_id_244,disease-location_id_30,has_location,location
syndrome_id_244,disease-location_id_65,has_location,location
syndrome_id_271,disease-location_id_5,has_location,location
syndrome_id_650,disease-location_id_5,has_location,location
syndrome_id_34,disease-location_id_5,has_location,location
syndrome_id_68,disease-location_id_14,has_location,location
syndrome_id_288,disease-location_id_5,has_location,location
syndrome_id_733,disease-location_id_58,has_location,location
syndrome_id_717,disease-location_id_5,has_location,location
syndrome_id_375,disease-location_id_5,has_location,location
