:START_ID,:END_ID,relation,:TYPE
syndrome_id_231,tongue_id_13,has_tongue,tongue
syndrome_id_231,tongue_id_103,has_tongue,tongue
syndrome_id_231,tongue_id_106,has_tongue,tongue
syndrome_id_231,tongue_id_117,has_tongue,tongue
syndrome_id_255,tongue_id_68,has_tongue,tongue
syndrome_id_255,tongue_id_103,has_tongue,tongue
syndrome_id_663,tongue_id_86,has_tongue,tongue
syndrome_id_663,tongue_id_113,has_tongue,tongue
syndrome_id_663,tongue_id_103,has_tongue,tongue
syndrome_id_643,tongue_id_113,has_tongue,tongue
syndrome_id_643,tongue_id_103,has_tongue,tongue
syndrome_id_75,tongue_id_113,has_tongue,tongue
syndrome_id_75,tongue_id_102,has_tongue,tongue
syndrome_id_568,tongue_id_51,has_tongue,tongue
syndrome_id_568,tongue_id_113,has_tongue,tongue
syndrome_id_568,tongue_id_103,has_tongue,tongue
syndrome_id_523,tongue_id_103,has_tongue,tongue
syndrome_id_80,tongue_id_103,has_tongue,tongue
syndrome_id_80,tongue_id_97,has_tongue,tongue
syndrome_id_81,tongue_id_103,has_tongue,tongue
syndrome_id_81,tongue_id_113,has_tongue,tongue
syndrome_id_74,tongue_id_113,has_tongue,tongue
syndrome_id_74,tongue_id_103,has_tongue,tongue
syndrome_id_656,tongue_id_51,has_tongue,tongue
syndrome_id_656,tongue_id_103,has_tongue,tongue
syndrome_id_711,tongue_id_68,has_tongue,tongue
syndrome_id_711,tongue_id_117,has_tongue,tongue
syndrome_id_711,tongue_id_111,has_tongue,tongue
syndrome_id_670,tongue_id_46,has_tongue,tongue
syndrome_id_670,tongue_id_51,has_tongue,tongue
syndrome_id_670,tongue_id_113,has_tongue,tongue
syndrome_id_670,tongue_id_103,has_tongue,tongue
syndrome_id_667,tongue_id_103,has_tongue,tongue
syndrome_id_76,tongue_id_51,has_tongue,tongue
syndrome_id_76,tongue_id_103,has_tongue,tongue
syndrome_id_214,tongue_id_51,has_tongue,tongue
syndrome_id_214,tongue_id_103,has_tongue,tongue
syndrome_id_214,tongue_id_113,has_tongue,tongue
syndrome_id_214,tongue_id_94,has_tongue,tongue
syndrome_id_651,tongue_id_68,has_tongue,tongue
syndrome_id_651,tongue_id_85,has_tongue,tongue
syndrome_id_660,tongue_id_48,has_tongue,tongue
syndrome_id_660,tongue_id_111,has_tongue,tongue
syndrome_id_653,tongue_id_113,has_tongue,tongue
syndrome_id_653,tongue_id_103,has_tongue,tongue
syndrome_id_301,tongue_id_117,has_tongue,tongue
syndrome_id_301,tongue_id_94,has_tongue,tongue
syndrome_id_654,tongue_id_113,has_tongue,tongue
syndrome_id_654,tongue_id_117,has_tongue,tongue
syndrome_id_710,tongue_id_113,has_tongue,tongue
syndrome_id_710,tongue_id_117,has_tongue,tongue
syndrome_id_652,tongue_id_86,has_tongue,tongue
syndrome_id_657,tongue_id_113,has_tongue,tongue
syndrome_id_657,tongue_id_117,has_tongue,tongue
syndrome_id_657,tongue_id_102,has_tongue,tongue
syndrome_id_658,tongue_id_117,has_tongue,tongue
syndrome_id_658,tongue_id_102,has_tongue,tongue
syndrome_id_244,tongue_id_68,has_tongue,tongue
syndrome_id_244,tongue_id_117,has_tongue,tongue
syndrome_id_271,tongue_id_111,has_tongue,tongue
syndrome_id_271,tongue_id_103,has_tongue,tongue
syndrome_id_650,tongue_id_51,has_tongue,tongue
syndrome_id_650,tongue_id_94,has_tongue,tongue
syndrome_id_34,tongue_id_68,has_tongue,tongue
syndrome_id_34,tongue_id_86,has_tongue,tongue
syndrome_id_68,tongue_id_68,has_tongue,tongue
syndrome_id_68,tongue_id_117,has_tongue,tongue
syndrome_id_68,tongue_id_102,has_tongue,tongue
syndrome_id_288,tongue_id_68,has_tongue,tongue
syndrome_id_288,tongue_id_117,has_tongue,tongue
syndrome_id_288,tongue_id_86,has_tongue,tongue
syndrome_id_288,tongue_id_5,has_tongue,tongue
syndrome_id_733,tongue_id_113,has_tongue,tongue
syndrome_id_733,tongue_id_103,has_tongue,tongue
syndrome_id_733,tongue_id_97,has_tongue,tongue
syndrome_id_717,tongue_id_113,has_tongue,tongue
syndrome_id_717,tongue_id_111,has_tongue,tongue
syndrome_id_375,tongue_id_111,has_tongue,tongue
syndrome_id_391,tongue_id_68,has_tongue,tongue
syndrome_id_391,tongue_id_117,has_tongue,tongue
syndrome_id_391,tongue_id_111,has_tongue,tongue
syndrome_id_265,tongue_id_111,has_tongue,tongue
syndrome_id_265,tongue_id_103,has_tongue,tongue
syndrome_id_406,tongue_id_103,has_tongue,tongue
syndrome_id_406,tongue_id_97,has_tongue,tongue
syndrome_id_379,tongue_id_48,has_tongue,tongue
syndrome_id_379,tongue_id_113,has_tongue,tongue
syndrome_id_379,tongue_id_111,has_tongue,tongue
syndrome_id_378,tongue_id_117,has_tongue,tongue
syndrome_id_378,tongue_id_94,has_tongue,tongue
syndrome_id_387,tongue_id_51,has_tongue,tongue
syndrome_id_387,tongue_id_103,has_tongue,tongue
syndrome_id_387,tongue_id_111,has_tongue,tongue
syndrome_id_386,tongue_id_103,has_tongue,tongue
syndrome_id_396,tongue_id_68,has_tongue,tongue
syndrome_id_396,tongue_id_117,has_tongue,tongue
syndrome_id_476,tongue_id_68,has_tongue,tongue
syndrome_id_476,tongue_id_103,has_tongue,tongue
syndrome_id_476,tongue_id_117,has_tongue,tongue
syndrome_id_132,tongue_id_97,has_tongue,tongue
syndrome_id_132,tongue_id_103,has_tongue,tongue
syndrome_id_132,tongue_id_117,has_tongue,tongue
syndrome_id_270,tongue_id_51,has_tongue,tongue
syndrome_id_270,tongue_id_7,has_tongue,tongue
syndrome_id_270,tongue_id_103,has_tongue,tongue
syndrome_id_270,tongue_id_97,has_tongue,tongue
syndrome_id_430,tongue_id_113,has_tongue,tongue
syndrome_id_246,tongue_id_62,has_tongue,tongue
syndrome_id_246,tongue_id_38,has_tongue,tongue
syndrome_id_261,tongue_id_68,has_tongue,tongue
syndrome_id_261,tongue_id_113,has_tongue,tongue
syndrome_id_261,tongue_id_5,has_tongue,tongue
